File ID	File Name	Data Category	Data Type	Project ID	Case ID	Sample ID	Sample Type
4c45990d-5526-48c3-8987-4f4a80b97790	c183624c-10c6-40c7-9aba-46e2efb19930.htseq.counts.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-BLCA	TCGA-DK-AA76	TCGA-DK-AA76-01A	Primary Tumor
f96c0a94-5c7c-4196-ac32-817b4b659857	6c0d24b4-b01c-4262-bf0d-60a4c4c11087.htseq.counts.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-BLCA	TCGA-FD-A3SJ	TCGA-FD-A3SJ-01A	Primary Tumor
bf8dd5dc-91ec-4f73-a8ed-84d74698565e	9eb73e5b-9275-4855-8395-38facb0aa18b.htseq.counts.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-BLCA	TCGA-E7-A3X6	TCGA-E7-A3X6-01A	Primary Tumor
51982f7f-b7cc-41d7-8827-2b733926a454	695edbe7-d46a-433f-9ae8-a8978a19a320.htseq.counts.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-BLCA	TCGA-E7-A97Q	TCGA-E7-A97Q-01A	Primary Tumor
4f1bc11c-8ddb-4b31-b663-7d01c1487cf6	97f5cca1-355a-43fa-94de-df83f165bc4f.htseq.counts.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-BLCA	TCGA-KQ-A41S	TCGA-KQ-A41S-01A	Primary Tumor
598d4823-3260-4f9c-b44e-aad9314fbe5f	a8b4c5de-a026-4f9a-a9d5-e9d6748ade5e.htseq.counts.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-BLCA	TCGA-XF-A9SJ	TCGA-XF-A9SJ-01A	Primary Tumor
60dcbfe0-4c86-4d27-93fc-e5bbeb95a20e	15941f8a-9656-4fb5-95fa-70697a849f31.htseq.counts.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-BLCA	TCGA-FD-A62O	TCGA-FD-A62O-01A	Primary Tumor
56940754-8961-45f6-9674-85ea765c292f	02f0ecc1-a546-4c1a-a743-d4c3c0ea42e1.htseq.counts.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-BLCA	TCGA-GU-A42P	TCGA-GU-A42P-01A	Primary Tumor
0edeb7a0-42d5-4f1f-b0f2-9b0338339ce2	72fde82f-1da6-4e4c-963f-13450fa6faf1.htseq.counts.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-BLCA	TCGA-FD-A3B3	TCGA-FD-A3B3-01A	Primary Tumor
420a835f-286d-442d-bb60-60a2b2127611	baccbbdd-01b9-4b53-b951-81a65e64ebcf.htseq.counts.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-BLCA	TCGA-XF-A9T2	TCGA-XF-A9T2-01A	Primary Tumor
