"","Run","Path","Class"
"1","c183624c-10c6-40c7-9aba-46e2efb19930.htseq.counts","BladderCancer/CountFiles/4c45990d-5526-48c3-8987-4f4a80b97790","Primary Tumor"
"2","6c0d24b4-b01c-4262-bf0d-60a4c4c11087.htseq.counts","BladderCancer/CountFiles/f96c0a94-5c7c-4196-ac32-817b4b659857","Primary Tumor"
"3","9eb73e5b-9275-4855-8395-38facb0aa18b.htseq.counts","BladderCancer/CountFiles/bf8dd5dc-91ec-4f73-a8ed-84d74698565e","Primary Tumor"
"4","695edbe7-d46a-433f-9ae8-a8978a19a320.htseq.counts","BladderCancer/CountFiles/51982f7f-b7cc-41d7-8827-2b733926a454","Primary Tumor"
"5","97f5cca1-355a-43fa-94de-df83f165bc4f.htseq.counts","BladderCancer/CountFiles/4f1bc11c-8ddb-4b31-b663-7d01c1487cf6","Primary Tumor"
"6","a8b4c5de-a026-4f9a-a9d5-e9d6748ade5e.htseq.counts","BladderCancer/CountFiles/598d4823-3260-4f9c-b44e-aad9314fbe5f","Primary Tumor"
"7","15941f8a-9656-4fb5-95fa-70697a849f31.htseq.counts","BladderCancer/CountFiles/60dcbfe0-4c86-4d27-93fc-e5bbeb95a20e","Primary Tumor"
"8","02f0ecc1-a546-4c1a-a743-d4c3c0ea42e1.htseq.counts","BladderCancer/CountFiles/56940754-8961-45f6-9674-85ea765c292f","Primary Tumor"
"9","72fde82f-1da6-4e4c-963f-13450fa6faf1.htseq.counts","BladderCancer/CountFiles/0edeb7a0-42d5-4f1f-b0f2-9b0338339ce2","Primary Tumor"
"10","baccbbdd-01b9-4b53-b951-81a65e64ebcf.htseq.counts","BladderCancer/CountFiles/420a835f-286d-442d-bb60-60a2b2127611","Primary Tumor"
"11","a81c0179-62fa-4d06-975c-439d54a968bd.htseq.counts","BladderCancer/CountFiles/2fb1bb91-ab95-432b-9b7b-0f941468c7b0","Primary Tumor"
"12","babb9b78-6b24-4621-8adb-ec81cb149170.htseq.counts","BladderCancer/CountFiles/e6d3be5a-53c9-40e8-b962-e8d17f89ae82","Primary Tumor"
"13","ff691f33-5e85-4295-88f5-c86b762da62b.htseq.counts","BladderCancer/CountFiles/05553f2e-2564-4e7a-8136-ab9f80eab4f5","Primary Tumor"
"14","be81ed72-5acd-400e-b500-52e5151b957d.htseq.counts","BladderCancer/CountFiles/a497ffb2-e022-4769-9049-88cc659e31b3","Primary Tumor"
"15","74fa890a-d4e6-4718-959a-2b2c125c892e.htseq.counts","BladderCancer/CountFiles/56630b4d-5a25-4394-b540-de3b6646cc1d","Primary Tumor"
"16","fc412747-9050-4c51-8e1e-9b6e1bc3b5f5.htseq.counts","BladderCancer/CountFiles/43269136-7770-4216-8a0e-c63ae43b9b24","Primary Tumor"
"17","598daf4d-d024-45ef-b92b-c03182b59312.htseq.counts","BladderCancer/CountFiles/2757ecca-6be1-466f-aea1-9790acabce60","Primary Tumor"
"18","d3a1a774-4083-4eb9-89ba-fdcc01eaa648.htseq.counts","BladderCancer/CountFiles/a3604977-2989-4088-a646-faefbfd5dcb5","Primary Tumor"
"19","83db35fc-70bb-440e-97d7-1fae8fdae1d4.htseq.counts","BladderCancer/CountFiles/adc4137f-47a5-4192-b89c-f71c59269817","Primary Tumor"
"20","3fb58934-0f65-4b55-9d04-3db875d60521.htseq.counts","BladderCancer/CountFiles/108d9357-b834-490f-a09d-e5b694923908","Primary Tumor"
"21","879e4d3a-aa47-4a95-8c21-ba69ec44d9e2.htseq.counts","BladderCancer/CountFiles/1e2fabe6-2d65-4798-a4c4-8e9ce010a905","Primary Tumor"
"22","eeb06eaa-4116-40dc-ab8c-555fe6806ec1.htseq.counts","BladderCancer/CountFiles/440e3ea8-2cf9-4e7b-8120-ac177cfddd65","Primary Tumor"
"23","781a5fb7-d62a-439d-a062-2f6fcaad9168.htseq.counts","BladderCancer/CountFiles/30c6f0eb-0041-46a1-ad02-2004a5b707e1","Primary Tumor"
"24","b142177f-f89e-4e5a-834b-a75e7ab0b618.htseq.counts","BladderCancer/CountFiles/20976445-b2a0-45ad-a89a-9273938727c6","Primary Tumor"
"25","32648f93-4bfc-4c39-a35c-33fc90be175e.htseq.counts","BladderCancer/CountFiles/983efa5c-27c4-45f7-a0fd-0230931d9da8","Primary Tumor"
"26","9ac9047f-7c57-4173-a9cc-d45430e2ece0.htseq.counts","BladderCancer/CountFiles/8c6ffe1d-a2c4-4c94-a8b9-b8c5936223e7","Primary Tumor"
"27","e5e13a00-2365-497e-9145-1f6c5982416c.htseq.counts","BladderCancer/CountFiles/4f5e7d67-b8b8-47ff-8acd-199baa5270ba","Primary Tumor"
"28","6a04b8ef-00ac-45d7-ac72-2e311e383f35.htseq.counts","BladderCancer/CountFiles/e3f63f0b-72ae-4291-8fb6-e34a003899ca","Primary Tumor"
"29","b6cc1a11-1805-4e41-8d7e-190c25609c17.htseq.counts","BladderCancer/CountFiles/85d1d5b6-b447-4606-ba9a-55445d72111c","Primary Tumor"
"30","748316bc-c1df-4dbf-b365-defbc050e9f9.htseq.counts","BladderCancer/CountFiles/911551da-540a-4ba6-a6bd-4015d2b961e6","Primary Tumor"
"31","b47eff6e-2f1a-41a1-8f59-0f77006ba38e.htseq.counts","BladderCancer/CountFiles/014d8038-9d2b-4eb4-b31e-a1e91b6102fe","Primary Tumor"
"32","b4610520-9d1e-4bfe-ab3b-2864067bdc9c.htseq.counts","BladderCancer/CountFiles/d4916681-2ee6-4f38-8f6e-d60ac7d2db6a","Primary Tumor"
"33","3833f138-a4b7-40b9-bbc4-7f28973305e4.htseq.counts","BladderCancer/CountFiles/6718364f-1db7-4e87-a3d5-9df807646c09","Primary Tumor"
"34","9f7b3d20-3456-4ae5-ac03-11c61cfd16d4.htseq.counts","BladderCancer/CountFiles/c8bd37ae-ccb7-46c0-a8e3-96ae1c0315c6","Primary Tumor"
"35","2d4ca934-6973-49c9-842f-0325d8d7f4e3.htseq.counts","BladderCancer/CountFiles/6b9d4ce3-ed0e-4b7c-b335-ce56ae44cc0c","Primary Tumor"
"36","57fd6ef9-0c2f-48c5-9aeb-eff4726b1641.htseq.counts","BladderCancer/CountFiles/0fdd0aaf-7518-49b5-8b33-27f208bde725","Primary Tumor"
