File ID	File Name	Data Category	Data Type	Project ID	Case ID	Sample ID	Sample Type
56dcde50-ceae-4867-8095-7f09ab3bd5bf	eb5bc3d0-9f66-413f-b6bb-72a5a6b7fde9.htseq.counts.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-BRCA	TCGA-AR-A255	TCGA-AR-A255-01A	Primary Tumor
af091eb0-baf2-4d5f-9118-8a1a0dc896dc	e84e835c-ce99-46bd-a50b-068cfb983143.htseq.counts.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-BRCA	TCGA-BH-A1FH	TCGA-BH-A1FH-11B	Solid Tissue Normal
37cf1cb8-3fe8-44c9-88f2-bfbd89ff4bb0	9ae1330c-a197-416a-9d5f-3ca16b36ec90.htseq.counts.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-BRCA	TCGA-BH-A0HB	TCGA-BH-A0HB-01A	Primary Tumor
bc571e05-b9b7-4ef1-98db-c05fdb94aa80	6e0e0989-0b95-4f1f-8853-2da52fd6a6fd.htseq.counts.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-BRCA	TCGA-BH-A0W4	TCGA-BH-A0W4-01A	Primary Tumor
bde7dd8f-ee95-40dc-a508-b666ea2d5505	73bcbb60-38af-4143-95e9-1a842cdf9c20.htseq.counts.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-BRCA	TCGA-BH-A0BA	TCGA-BH-A0BA-11A	Solid Tissue Normal
e6be47d6-1c2a-4f4e-98fb-b6ad6a1b05a5	9f29fd2f-3231-419c-b7d5-dba6457e523d.htseq.counts.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-BRCA	TCGA-B6-A0IJ	TCGA-B6-A0IJ-01A	Primary Tumor
c208005f-0b6f-4c14-9267-b3a582a0dcba	e6981360-42ea-402a-aead-f6f2b31ef30c.htseq.counts.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-BRCA	TCGA-E9-A1R0	TCGA-E9-A1R0-01A	Primary Tumor
21e09ba5-a1ec-47e6-a963-2b206d739e30	1e215a66-f961-4870-a370-4b945e1f7053.htseq.counts.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-BRCA	TCGA-A2-A0CR	TCGA-A2-A0CR-01A	Primary Tumor
59ec2dc1-ac09-4cd7-8d73-46886dacd338	cd052da2-9e32-4881-87c0-5e66cdc6f5f7.htseq.counts.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-BRCA	TCGA-AR-A0TV	TCGA-AR-A0TV-01A	Primary Tumor
d5a2771d-5ca1-4a2d-b1f2-5bb69ba0851f	45c4eed7-f80d-4d33-abbb-321ff5ed0750.htseq.counts.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-BRCA	TCGA-C8-A26W	TCGA-C8-A26W-01A	Primary Tumor
