File ID	File Name	Data Category	Data Type	Project ID	Case ID	Sample ID	Sample Type
30110693-1f69-4030-bcde-4328a0a4e6b1	96f97dd0-3c7a-4a8c-a165-9ab14c9fcef6.htseq.counts.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-COAD	TCGA-AA-3520	TCGA-AA-3520-01A	Primary Tumor
dc0e73f1-f148-4df1-b4b8-b98acb317938	ca75e00b-f5e2-4904-a53b-36a1314e8e86.htseq.counts.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-COAD	TCGA-CM-5349	TCGA-CM-5349-01A	Primary Tumor
def07c32-2609-4dc0-bc70-49e4ea9fc60c	f1fcd165-ddbc-44b8-b062-ae5199c53cba.htseq.counts.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-COAD	TCGA-A6-5662	TCGA-A6-5662-11A	Solid Tissue Normal
a74bbce0-7f3d-434e-b294-7fa45e5b3a60	c14f98e2-8e9b-49f4-a244-3d06c6cb7126.htseq.counts.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-COAD	TCGA-A6-2684	TCGA-A6-2684-01A	Primary Tumor
4959d63f-248f-4975-8bca-7f9add59f085	eb799eef-5506-4935-9649-c543a1d1bbd5.htseq.counts.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-COAD	TCGA-G4-6307	TCGA-G4-6307-01A	Primary Tumor
11f53fbe-cac6-4644-ba60-bed6cb04e094	b65c7ed9-f7ef-41ea-8d92-793a6630f424.htseq.counts.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-COAD	TCGA-AA-3972	TCGA-AA-3972-01A	Primary Tumor
b0d817dc-6519-41e7-9868-e72e8b616ca1	0ee26933-679d-4e84-ab56-6b9581e5dbfd.htseq.counts.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-COAD	TCGA-AY-A8YK	TCGA-AY-A8YK-01A	Primary Tumor
1100e746-ee79-4790-ac8f-b6a7db94f0a5	075a759b-21e0-4cab-a6b2-c5d65f7ccdbc.htseq.counts.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-COAD	TCGA-NH-A6GB	TCGA-NH-A6GB-01A	Primary Tumor
0774f707-98a3-42d3-94cf-5a5591c1fec9	f96e90ca-9211-420e-a75f-5f30b67d2d95.htseq.counts.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-COAD	TCGA-D5-6898	TCGA-D5-6898-01A	Primary Tumor
1a820946-e521-47dd-a603-3d050a1a1399	bef7dd4d-624a-4b35-aab8-bf1c99d3bf01.htseq.counts.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-COAD	TCGA-CM-6166	TCGA-CM-6166-01A	Primary Tumor
c6d64a71-7f2e-4634-962a-eb58eb5fc65c	088506d0-2717-4a75-b353-88bc1a225212.htseq.counts.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-COAD	TCGA-AA-3977	TCGA-AA-3977-01A	Primary Tumor
744f8589-a640-45bc-9036-b818d49643f7	d334512c-d092-459a-aab7-a3a0e281d9d4.htseq.counts.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-COAD	TCGA-A6-2683	TCGA-A6-2683-01A	Primary Tumor
b200872e-2a18-4d56-a291-b7c61e780c8c	9bf28651-4429-4fe5-9e9e-dda3a2aaa221.htseq.counts.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-COAD	TCGA-A6-6140	TCGA-A6-6140-01A	Primary Tumor
a78806b2-44fe-4a2f-8b84-08ad54538342	11d08d8f-beea-4b57-a9cd-2f957a391360.htseq.counts.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-COAD	TCGA-A6-5659	TCGA-A6-5659-01A	Primary Tumor
031cf2a5-74e0-4b5f-98bd-da60628c0854	9c52ed00-325f-4664-8873-327bcaa5ea74.htseq.counts.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-COAD	TCGA-AA-3680	TCGA-AA-3680-01A	Primary Tumor
91991ecf-cc54-4110-8a4e-9236bf8aa072	fabefb10-5546-4017-8ea1-29982a10fb3c.htseq.counts.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-COAD	TCGA-A6-4105	TCGA-A6-4105-01A	Primary Tumor
47aceec1-a01d-419f-9689-c46284c79bcb	32a115cf-570f-4ad9-a123-8e1970062f51.htseq.counts.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-COAD	TCGA-D5-6922	TCGA-D5-6922-01A	Primary Tumor
ce84c955-63db-473a-a6d7-0e3daad6efd4	05eef9f8-a246-403a-b0be-07d274b6f93a.htseq.counts.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-COAD	TCGA-AA-3524	TCGA-AA-3524-01A	Primary Tumor
e2b0b410-377f-41e2-895f-59afcb0aabb1	14ea1c20-2700-4de0-88c0-154b116b1b8c.htseq.counts.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-COAD	TCGA-AA-A01I	TCGA-AA-A01I-01A	Primary Tumor
52b73cc5-ea14-441f-90f0-311dc1903e28	51e55e7a-5fef-4451-af1b-49ed4ced9ac7.htseq.counts.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-COAD	TCGA-AA-3973	TCGA-AA-3973-01A	Primary Tumor
37acf5f7-bfb5-4c5b-80eb-f21e257ad546	bbf586b3-2d8d-4a50-b5b1-7d0c75b6570d.htseq.counts.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-COAD	TCGA-A6-A5ZU	TCGA-A6-A5ZU-01A	Primary Tumor
e61d5c3d-4cfe-441f-be92-8b293bcbae9e	09796233-3f40-4deb-b77d-2267c3afff59.htseq.counts.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-COAD	TCGA-CM-6676	TCGA-CM-6676-01A	Primary Tumor
7239b026-2587-489d-81fe-7bc657b7523c	c264fe3b-482b-44ec-83a4-73df565663ff.htseq.counts.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-COAD	TCGA-CM-6164	TCGA-CM-6164-01A	Primary Tumor
90e86a26-fffa-4c38-b2e0-bf0704ee3615	bd2dfab3-88a8-4673-ba36-3daf252d0b4d.htseq.counts.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-COAD	TCGA-AZ-4315	TCGA-AZ-4315-01A	Primary Tumor
9ff11fe0-037c-405e-95c3-dc4a15413db8	7261b656-c79c-4581-a503-15b653e2b5d2.htseq.counts.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-COAD	TCGA-G4-6311	TCGA-G4-6311-01A	Primary Tumor
a071fc45-61ea-4815-93bf-be34980e59ee	5c18c6a8-9ad2-43a8-a3a0-83d8fc0cc257.htseq.counts.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-COAD	TCGA-AA-3855	TCGA-AA-3855-01A	Primary Tumor
8b275144-b885-4fb0-af39-fea1e48a970a	43b292be-5d63-4523-a43f-666d20039208.htseq.counts.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-COAD	TCGA-AA-A00Q	TCGA-AA-A00Q-01A	Primary Tumor
b8eed826-6051-4358-9b3d-44d1553dd9ad	ee4dcccc-514b-4cc6-ae63-6ed3e7519a40.htseq.counts.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-COAD	TCGA-AA-3522	TCGA-AA-3522-11A	Solid Tissue Normal
c172bc07-d4f0-41be-a558-49abc81065c2	f596eabc-e39a-4e35-9fc6-edade04eb785.htseq.counts.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-COAD	TCGA-AA-3667	TCGA-AA-3667-01A	Primary Tumor
ebcaf4d5-5515-4ab0-b683-b21fb9f3d390	bd2b70a7-7a80-4ede-833e-ed6365552684.htseq.counts.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-COAD	TCGA-G4-6299	TCGA-G4-6299-01A	Primary Tumor
9aefde5e-f012-47fc-8b5c-a41356bcfe8c	02ddfa3d-13b3-4624-994d-62e740fa4a3d.htseq.counts.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-COAD	TCGA-D5-5540	TCGA-D5-5540-01A	Primary Tumor
40ecd8f4-e6d5-4115-80a7-41519cd97287	e2bdca76-7bc5-4143-a6f6-3c6642425c65.htseq.counts.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-COAD	TCGA-AA-3514	TCGA-AA-3514-01A	Primary Tumor
a2605a35-f66c-4f07-bfd8-773db1b8050b	c49cf84f-cb19-4e11-9a71-4825bc906382.htseq.counts.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-COAD	TCGA-A6-2682	TCGA-A6-2682-11A	Solid Tissue Normal
b6388e09-7ed5-4041-97bb-4427ba5571ba	0ed65bdf-cb92-47c1-8aeb-42518ce639b8.htseq.counts.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-COAD	TCGA-AY-6197	TCGA-AY-6197-01A	Primary Tumor
260edc5e-1ca6-4b07-b96d-59594d03ac54	bf9c448b-bdc9-4f74-b13a-374e6add7939.htseq.counts.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-COAD	TCGA-AA-A00U	TCGA-AA-A00U-01A	Primary Tumor
0c5c1a38-7e9c-4b43-810d-0761c3af49b1	564daa81-cfef-45b6-94a0-3249b2724d9b.htseq.counts.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-COAD	TCGA-AA-3506	TCGA-AA-3506-01A	Primary Tumor
7024ba0c-be56-4907-9254-cdb2579e536e	82e00e45-734c-471f-ba97-79ec3b7e0baa.htseq.counts.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-COAD	TCGA-NH-A8F7	TCGA-NH-A8F7-06A	Metastatic
a6a52e01-e316-4a38-b54c-e505130e14ea	d32c878b-e693-4eae-a615-7767371b3ae4.htseq.counts.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-COAD	TCGA-AY-5543	TCGA-AY-5543-01A	Primary Tumor
54840ce9-7243-4261-8c93-235ab2a8f6c4	5faf3586-b033-45fd-8dd9-fef111b0f752.htseq.counts.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-COAD	TCGA-AZ-4616	TCGA-AZ-4616-01A	Primary Tumor
8d445b92-e331-421c-9de0-d55a2fee908d	6525a459-76eb-4c64-b061-f674797f9b81.htseq.counts.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-COAD	TCGA-AA-3663	TCGA-AA-3663-01A	Primary Tumor
7b4d59ed-2a71-4ef0-9c1a-acfc4574a5dd	3a93e1ff-bcdc-4dea-9541-54b074e4f967.htseq.counts.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-COAD	TCGA-AZ-5407	TCGA-AZ-5407-01A	Primary Tumor
070e2532-7a14-4c76-a352-3653eb20f29e	b1a7e378-a07b-4434-8a5d-d4756b7d523c.htseq.counts.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-COAD	TCGA-A6-6650	TCGA-A6-6650-01B	Primary Tumor
c6aa7d9a-c608-4d62-998d-843cfc61a732	81d8c120-144f-4ffc-9ca4-eb76ca1fc821.htseq.counts.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-COAD	TCGA-AA-3710	TCGA-AA-3710-01A	Primary Tumor
a5eff904-c877-4b5a-b275-a8b260b8f4d8	1580243c-8353-4c6e-a532-81121b912c21.htseq.counts.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-COAD	TCGA-AA-3862	TCGA-AA-3862-01A	Primary Tumor
de60dbd7-8a93-47a5-b1ea-a3f95beade8a	6ae2dd6c-2a39-411f-a1fc-11e0e6e82165.htseq.counts.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-COAD	TCGA-F4-6854	TCGA-F4-6854-01A	Primary Tumor
70883b31-d130-4efd-a7c6-169c8d4a253d	8f77f4f4-b184-40c7-8ab8-2f95b13620b5.htseq.counts.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-COAD	TCGA-AD-A5EJ	TCGA-AD-A5EJ-01A	Primary Tumor
54394c0b-6ae3-4b48-8e89-350ad5349611	4e7c6811-88e4-4bb7-a88f-7491dfa6d072.htseq.counts.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-COAD	TCGA-AA-3554	TCGA-AA-3554-01A	Primary Tumor
fca8e4e3-9038-4016-a76d-c936e175458c	f4b179c1-9d27-439b-a1ef-3dfbbd684c15.htseq.counts.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-COAD	TCGA-A6-A56B	TCGA-A6-A56B-01A	Primary Tumor
cea2c6b2-09a7-4a28-8d0a-41efa4d2fd44	799199d9-0ff7-4d58-97bd-08009f64947d.htseq.counts.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-COAD	TCGA-AY-A54L	TCGA-AY-A54L-01A	Primary Tumor
6425f49c-3c00-4188-ac69-de6acc2ea91d	2f906887-7836-4f24-8f97-91b10811a7c3.htseq.counts.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-COAD	TCGA-CA-6715	TCGA-CA-6715-01A	Primary Tumor
1df1bb2b-c139-43ea-a025-c1914ea022eb	586cc5be-d91f-47ea-9d1e-c3b65b2af33f.htseq.counts.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-COAD	TCGA-AA-3815	TCGA-AA-3815-01A	Primary Tumor
1d9e0941-8080-4118-8be1-522c3534b214	80592959-da54-41d0-9b82-ed279be3ecea.htseq.counts.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-COAD	TCGA-AA-3509	TCGA-AA-3509-01A	Primary Tumor
d6b31bc2-6410-4b01-8856-972473a3db8c	25a62766-c783-415a-96bf-dafc8f109510.htseq.counts.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-COAD	TCGA-DM-A0XF	TCGA-DM-A0XF-01A	Primary Tumor
b266c2bf-973d-4708-a4ed-1318c52c1402	e19da22a-2a4e-43ff-acff-12aeafa3a2c1.htseq.counts.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-COAD	TCGA-QL-A97D	TCGA-QL-A97D-01A	Primary Tumor
7d941107-78d0-4d60-9e0f-616cd9291595	020aa019-a3a4-4055-92ee-be824a597501.htseq.counts.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-COAD	TCGA-CM-6165	TCGA-CM-6165-01A	Primary Tumor
93ed7a68-c03b-4a66-ba4b-e0ee83547dce	df959336-a712-47a9-9042-b2b6bc01e813.htseq.counts.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-COAD	TCGA-AZ-4614	TCGA-AZ-4614-01A	Primary Tumor
