"","Run","Path","Class"
"1","96f97dd0-3c7a-4a8c-a165-9ab14c9fcef6.htseq.counts","ColonCancer/CountFiles/30110693-1f69-4030-bcde-4328a0a4e6b1","Primary Tumor"
"2","ca75e00b-f5e2-4904-a53b-36a1314e8e86.htseq.counts","ColonCancer/CountFiles/dc0e73f1-f148-4df1-b4b8-b98acb317938","Primary Tumor"
"3","f1fcd165-ddbc-44b8-b062-ae5199c53cba.htseq.counts","ColonCancer/CountFiles/def07c32-2609-4dc0-bc70-49e4ea9fc60c","Solid Tissue Normal"
"4","c14f98e2-8e9b-49f4-a244-3d06c6cb7126.htseq.counts","ColonCancer/CountFiles/a74bbce0-7f3d-434e-b294-7fa45e5b3a60","Primary Tumor"
"5","eb799eef-5506-4935-9649-c543a1d1bbd5.htseq.counts","ColonCancer/CountFiles/4959d63f-248f-4975-8bca-7f9add59f085","Primary Tumor"
"6","b65c7ed9-f7ef-41ea-8d92-793a6630f424.htseq.counts","ColonCancer/CountFiles/11f53fbe-cac6-4644-ba60-bed6cb04e094","Primary Tumor"
"7","0ee26933-679d-4e84-ab56-6b9581e5dbfd.htseq.counts","ColonCancer/CountFiles/b0d817dc-6519-41e7-9868-e72e8b616ca1","Primary Tumor"
"8","075a759b-21e0-4cab-a6b2-c5d65f7ccdbc.htseq.counts","ColonCancer/CountFiles/1100e746-ee79-4790-ac8f-b6a7db94f0a5","Primary Tumor"
"9","f96e90ca-9211-420e-a75f-5f30b67d2d95.htseq.counts","ColonCancer/CountFiles/0774f707-98a3-42d3-94cf-5a5591c1fec9","Primary Tumor"
"10","bef7dd4d-624a-4b35-aab8-bf1c99d3bf01.htseq.counts","ColonCancer/CountFiles/1a820946-e521-47dd-a603-3d050a1a1399","Primary Tumor"
"11","088506d0-2717-4a75-b353-88bc1a225212.htseq.counts","ColonCancer/CountFiles/c6d64a71-7f2e-4634-962a-eb58eb5fc65c","Primary Tumor"
"12","d334512c-d092-459a-aab7-a3a0e281d9d4.htseq.counts","ColonCancer/CountFiles/744f8589-a640-45bc-9036-b818d49643f7","Primary Tumor"
"13","9bf28651-4429-4fe5-9e9e-dda3a2aaa221.htseq.counts","ColonCancer/CountFiles/b200872e-2a18-4d56-a291-b7c61e780c8c","Primary Tumor"
"14","11d08d8f-beea-4b57-a9cd-2f957a391360.htseq.counts","ColonCancer/CountFiles/a78806b2-44fe-4a2f-8b84-08ad54538342","Primary Tumor"
"15","9c52ed00-325f-4664-8873-327bcaa5ea74.htseq.counts","ColonCancer/CountFiles/031cf2a5-74e0-4b5f-98bd-da60628c0854","Primary Tumor"
"16","fabefb10-5546-4017-8ea1-29982a10fb3c.htseq.counts","ColonCancer/CountFiles/91991ecf-cc54-4110-8a4e-9236bf8aa072","Primary Tumor"
"17","32a115cf-570f-4ad9-a123-8e1970062f51.htseq.counts","ColonCancer/CountFiles/47aceec1-a01d-419f-9689-c46284c79bcb","Primary Tumor"
"18","05eef9f8-a246-403a-b0be-07d274b6f93a.htseq.counts","ColonCancer/CountFiles/ce84c955-63db-473a-a6d7-0e3daad6efd4","Primary Tumor"
"19","14ea1c20-2700-4de0-88c0-154b116b1b8c.htseq.counts","ColonCancer/CountFiles/e2b0b410-377f-41e2-895f-59afcb0aabb1","Primary Tumor"
"20","51e55e7a-5fef-4451-af1b-49ed4ced9ac7.htseq.counts","ColonCancer/CountFiles/52b73cc5-ea14-441f-90f0-311dc1903e28","Primary Tumor"
"21","bbf586b3-2d8d-4a50-b5b1-7d0c75b6570d.htseq.counts","ColonCancer/CountFiles/37acf5f7-bfb5-4c5b-80eb-f21e257ad546","Primary Tumor"
"22","09796233-3f40-4deb-b77d-2267c3afff59.htseq.counts","ColonCancer/CountFiles/e61d5c3d-4cfe-441f-be92-8b293bcbae9e","Primary Tumor"
"23","c264fe3b-482b-44ec-83a4-73df565663ff.htseq.counts","ColonCancer/CountFiles/7239b026-2587-489d-81fe-7bc657b7523c","Primary Tumor"
"24","bd2dfab3-88a8-4673-ba36-3daf252d0b4d.htseq.counts","ColonCancer/CountFiles/90e86a26-fffa-4c38-b2e0-bf0704ee3615","Primary Tumor"
"25","7261b656-c79c-4581-a503-15b653e2b5d2.htseq.counts","ColonCancer/CountFiles/9ff11fe0-037c-405e-95c3-dc4a15413db8","Primary Tumor"
"26","5c18c6a8-9ad2-43a8-a3a0-83d8fc0cc257.htseq.counts","ColonCancer/CountFiles/a071fc45-61ea-4815-93bf-be34980e59ee","Primary Tumor"
"27","43b292be-5d63-4523-a43f-666d20039208.htseq.counts","ColonCancer/CountFiles/8b275144-b885-4fb0-af39-fea1e48a970a","Primary Tumor"
"28","ee4dcccc-514b-4cc6-ae63-6ed3e7519a40.htseq.counts","ColonCancer/CountFiles/b8eed826-6051-4358-9b3d-44d1553dd9ad","Solid Tissue Normal"
"29","f596eabc-e39a-4e35-9fc6-edade04eb785.htseq.counts","ColonCancer/CountFiles/c172bc07-d4f0-41be-a558-49abc81065c2","Primary Tumor"
"30","bd2b70a7-7a80-4ede-833e-ed6365552684.htseq.counts","ColonCancer/CountFiles/ebcaf4d5-5515-4ab0-b683-b21fb9f3d390","Primary Tumor"
"31","02ddfa3d-13b3-4624-994d-62e740fa4a3d.htseq.counts","ColonCancer/CountFiles/9aefde5e-f012-47fc-8b5c-a41356bcfe8c","Primary Tumor"
"32","e2bdca76-7bc5-4143-a6f6-3c6642425c65.htseq.counts","ColonCancer/CountFiles/40ecd8f4-e6d5-4115-80a7-41519cd97287","Primary Tumor"
"33","c49cf84f-cb19-4e11-9a71-4825bc906382.htseq.counts","ColonCancer/CountFiles/a2605a35-f66c-4f07-bfd8-773db1b8050b","Solid Tissue Normal"
"34","0ed65bdf-cb92-47c1-8aeb-42518ce639b8.htseq.counts","ColonCancer/CountFiles/b6388e09-7ed5-4041-97bb-4427ba5571ba","Primary Tumor"
"35","bf9c448b-bdc9-4f74-b13a-374e6add7939.htseq.counts","ColonCancer/CountFiles/260edc5e-1ca6-4b07-b96d-59594d03ac54","Primary Tumor"
"36","564daa81-cfef-45b6-94a0-3249b2724d9b.htseq.counts","ColonCancer/CountFiles/0c5c1a38-7e9c-4b43-810d-0761c3af49b1","Primary Tumor"
"37","d32c878b-e693-4eae-a615-7767371b3ae4.htseq.counts","ColonCancer/CountFiles/a6a52e01-e316-4a38-b54c-e505130e14ea","Primary Tumor"
"38","5faf3586-b033-45fd-8dd9-fef111b0f752.htseq.counts","ColonCancer/CountFiles/54840ce9-7243-4261-8c93-235ab2a8f6c4","Primary Tumor"
"39","6525a459-76eb-4c64-b061-f674797f9b81.htseq.counts","ColonCancer/CountFiles/8d445b92-e331-421c-9de0-d55a2fee908d","Primary Tumor"
"40","3a93e1ff-bcdc-4dea-9541-54b074e4f967.htseq.counts","ColonCancer/CountFiles/7b4d59ed-2a71-4ef0-9c1a-acfc4574a5dd","Primary Tumor"
"41","b1a7e378-a07b-4434-8a5d-d4756b7d523c.htseq.counts","ColonCancer/CountFiles/070e2532-7a14-4c76-a352-3653eb20f29e","Primary Tumor"
"42","81d8c120-144f-4ffc-9ca4-eb76ca1fc821.htseq.counts","ColonCancer/CountFiles/c6aa7d9a-c608-4d62-998d-843cfc61a732","Primary Tumor"
"43","1580243c-8353-4c6e-a532-81121b912c21.htseq.counts","ColonCancer/CountFiles/a5eff904-c877-4b5a-b275-a8b260b8f4d8","Primary Tumor"
"44","6ae2dd6c-2a39-411f-a1fc-11e0e6e82165.htseq.counts","ColonCancer/CountFiles/de60dbd7-8a93-47a5-b1ea-a3f95beade8a","Primary Tumor"
"45","8f77f4f4-b184-40c7-8ab8-2f95b13620b5.htseq.counts","ColonCancer/CountFiles/70883b31-d130-4efd-a7c6-169c8d4a253d","Primary Tumor"
"46","4e7c6811-88e4-4bb7-a88f-7491dfa6d072.htseq.counts","ColonCancer/CountFiles/54394c0b-6ae3-4b48-8e89-350ad5349611","Primary Tumor"
