"","Run","Path","Class"
"1","c904d92e-b3bb-402c-ae37-fea2b8328970.htseq.counts","CorpusUteriCancer/CountFiles/41f628ef-e7ef-40f2-8e03-d17e8b5e492e","Primary Tumor"
"2","f0635afd-c734-4171-a687-8e40ba01d53e.htseq.counts","CorpusUteriCancer/CountFiles/5a9ae12a-de42-4bf1-b614-e893a9cc60ee","Primary Tumor"
"3","798607d9-d840-4be5-aac0-765aa9a97913.htseq.counts","CorpusUteriCancer/CountFiles/c4eb40e1-89e1-4e8a-9740-b50c173c86c5","Primary Tumor"
"4","e9f65d45-a80f-41fa-b17a-bd53703c9b6a.htseq.counts","CorpusUteriCancer/CountFiles/b5c0ccde-894c-421a-8554-6e9d0db5a29b","Primary Tumor"
"5","e40a49a6-a4e9-4552-b78b-27c85d95c1a7.htseq.counts","CorpusUteriCancer/CountFiles/7d0c1f0a-20bb-405d-b063-e7b80e0bc8ce","Primary Tumor"
"6","8adf8d6d-df8f-4bdb-8999-a25b9d9dea39.htseq.counts","CorpusUteriCancer/CountFiles/f64e4478-85da-4082-8be9-7e1171142d46","Primary Tumor"
"7","19229bc0-4bc2-44e8-a961-bd1eefe354de.htseq.counts","CorpusUteriCancer/CountFiles/f45e8c1e-eb45-4590-b057-c53d752d16e5","Primary Tumor"
"8","67cfe653-e458-44cc-aa05-3e10e305b168.htseq.counts","CorpusUteriCancer/CountFiles/a5e72a6d-7893-4a2f-bc0d-db7edd61bfc9","Primary Tumor"
"9","dc396277-cc20-4077-8ce7-229a61a92bd6.htseq.counts","CorpusUteriCancer/CountFiles/23d35e25-dd00-4262-9dab-1cc4c0cf754e","Primary Tumor"
"10","302d3923-3985-4669-b68a-2d51d508bb8d.htseq.counts","CorpusUteriCancer/CountFiles/7380bf12-eb49-4a92-89cd-ec436cc40afe","Primary Tumor"
"11","b4c40df7-e459-47d5-8a3a-a46573650d51.htseq.counts","CorpusUteriCancer/CountFiles/c8de697b-0d44-4c9f-9271-f3a0f863bb7b","Primary Tumor"
"12","7afccfe4-4245-4f6c-9a56-b1ded4af45a3.htseq.counts","CorpusUteriCancer/CountFiles/f00aea62-94eb-4d65-b28b-f4bad86154c2","Primary Tumor"
"13","951db72b-e8ae-45bb-9a2b-3ba452b9e111.htseq.counts","CorpusUteriCancer/CountFiles/19bd2173-2e51-485e-9820-f469628fe184","Primary Tumor"
"14","9882f530-c5b1-4306-ac6e-aafe915ac56f.htseq.counts","CorpusUteriCancer/CountFiles/f068b5b5-abca-45eb-9a2d-27ddd7781cd7","Solid Tissue Normal"
"15","3b76359a-6260-4248-9440-7c09d7bc6254.htseq.counts","CorpusUteriCancer/CountFiles/7e3fd3d2-e144-4d44-ada9-5e7cde52074f","Primary Tumor"
"16","9b8e7043-9daf-4969-b13e-93f29b8f4b9a.htseq.counts","CorpusUteriCancer/CountFiles/dd15509f-d674-4e73-b83a-8b8c1a5f3761","Primary Tumor"
"17","3935d0b9-f79a-440e-abc3-d39a8ec88f11.htseq.counts","CorpusUteriCancer/CountFiles/cb9f351a-0c0a-4209-acd3-f14fac7ed0e5","Solid Tissue Normal"
"18","ea77fe52-24ab-4bb7-88ac-8fa54af8d01c.htseq.counts","CorpusUteriCancer/CountFiles/d439cc58-4086-4893-be9e-810b1cdecb3a","Primary Tumor"
"19","45b3cbd9-b757-42bb-9230-e55ef6041761.htseq.counts","CorpusUteriCancer/CountFiles/7ecc75e9-41c0-4ec7-96a8-65a92bf53cce","Primary Tumor"
"20","758b4472-0993-4e40-b3f0-36c1e9e86994.htseq.counts","CorpusUteriCancer/CountFiles/969b1c04-85a6-4ace-a732-b267e0908692","Primary Tumor"
