File ID	File Name	Data Category	Data Type	Project ID	Case ID	Sample ID	Sample Type
a0263b44-66b6-4198-8908-515ebb714a6a	2116d78c-4385-4b77-bbd5-eac05ef6a169.htseq.counts.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-ESCA	TCGA-L5-A8NE	TCGA-L5-A8NE-01A	Primary Tumor
8e250981-70a0-42d6-bd68-1c06504c39ab	ef53264e-cf1b-417d-a985-c54ff4ef6026.htseq.counts.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-ESCA	TCGA-L5-A4OE	TCGA-L5-A4OE-01A	Primary Tumor
75635dc8-72b4-4b23-83e1-4d536188f0f8	f34e8844-03a2-4c63-9825-b48721027f45.htseq.counts.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-ESCA	TCGA-L5-A4OW	TCGA-L5-A4OW-01A	Primary Tumor
5adddef8-724b-4d4f-865f-a0e4e98b2f48	d019b279-64cb-4941-a49d-4809e56a94c4.htseq.counts.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-ESCA	TCGA-2H-A9GM	TCGA-2H-A9GM-01A	Primary Tumor
48235627-7c47-4153-82ef-12361b4a9b9a	d56893f9-167b-4fb9-95b7-2a3c8279c148.htseq.counts.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-ESCA	TCGA-L5-A88S	TCGA-L5-A88S-01A	Primary Tumor
0b2c67a2-095a-4c7f-8a2d-4b4c1fc317c8	7faaad99-5d46-4f5f-b216-c694dd988d40.htseq.counts.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-ESCA	TCGA-L5-A893	TCGA-L5-A893-01A	Primary Tumor
20862bfa-078f-4fc9-822b-f7272bb7480d	7ac11391-59f5-411e-afbb-9541f556ff44.htseq.counts.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-ESCA	TCGA-L5-A8NM	TCGA-L5-A8NM-01A	Primary Tumor
808339bd-2f83-431f-a1e0-7c22126c6256	bb1b9683-173e-4a32-bbeb-f17c7ed114c6.htseq.counts.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-ESCA	TCGA-JY-A939	TCGA-JY-A939-01A	Primary Tumor
5bdb7aa2-6d12-4d29-801e-b04e18dcdfe3	47c3ea44-2768-49c3-ae7c-b4f2acfe4a72.htseq.counts.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-ESCA	TCGA-L5-A8NK	TCGA-L5-A8NK-01A	Primary Tumor
eae2219e-38fb-494e-bdfa-7fef05511a8c	056e323e-a25f-4699-bf84-75ba9c32fd16.htseq.counts.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-ESCA	TCGA-LN-A4A1	TCGA-LN-A4A1-01A	Primary Tumor
a1e4d6f2-9a7a-4b3f-907d-da785549c0a5	9387547b-7111-408e-8f02-f07a2f6b8361.htseq.counts.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-ESCA	TCGA-S8-A6BW	TCGA-S8-A6BW-01A	Primary Tumor
98d53bcf-5d53-47df-874e-3166f24b3060	cf9167eb-8b16-4707-ac37-bee20f2825d3.htseq.counts.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-ESCA	TCGA-IG-A5B8	TCGA-IG-A5B8-01A	Primary Tumor
c6607b76-9186-412d-97d1-f0cf7c180668	76e26c2b-3318-4bcd-87df-4bcccdce9643.htseq.counts.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-ESCA	TCGA-LN-A49M	TCGA-LN-A49M-01A	Primary Tumor
