"","Run","Path","Class"
"1","2116d78c-4385-4b77-bbd5-eac05ef6a169.htseq.counts","EsophagusCancer/CountFiles/a0263b44-66b6-4198-8908-515ebb714a6a","Primary Tumor"
"2","ef53264e-cf1b-417d-a985-c54ff4ef6026.htseq.counts","EsophagusCancer/CountFiles/8e250981-70a0-42d6-bd68-1c06504c39ab","Primary Tumor"
"3","f34e8844-03a2-4c63-9825-b48721027f45.htseq.counts","EsophagusCancer/CountFiles/75635dc8-72b4-4b23-83e1-4d536188f0f8","Primary Tumor"
"4","d019b279-64cb-4941-a49d-4809e56a94c4.htseq.counts","EsophagusCancer/CountFiles/5adddef8-724b-4d4f-865f-a0e4e98b2f48","Primary Tumor"
"5","d56893f9-167b-4fb9-95b7-2a3c8279c148.htseq.counts","EsophagusCancer/CountFiles/48235627-7c47-4153-82ef-12361b4a9b9a","Primary Tumor"
"6","7faaad99-5d46-4f5f-b216-c694dd988d40.htseq.counts","EsophagusCancer/CountFiles/0b2c67a2-095a-4c7f-8a2d-4b4c1fc317c8","Primary Tumor"
"7","7ac11391-59f5-411e-afbb-9541f556ff44.htseq.counts","EsophagusCancer/CountFiles/20862bfa-078f-4fc9-822b-f7272bb7480d","Primary Tumor"
"8","bb1b9683-173e-4a32-bbeb-f17c7ed114c6.htseq.counts","EsophagusCancer/CountFiles/808339bd-2f83-431f-a1e0-7c22126c6256","Primary Tumor"
"9","47c3ea44-2768-49c3-ae7c-b4f2acfe4a72.htseq.counts","EsophagusCancer/CountFiles/5bdb7aa2-6d12-4d29-801e-b04e18dcdfe3","Primary Tumor"
"10","056e323e-a25f-4699-bf84-75ba9c32fd16.htseq.counts","EsophagusCancer/CountFiles/eae2219e-38fb-494e-bdfa-7fef05511a8c","Primary Tumor"
"11","9387547b-7111-408e-8f02-f07a2f6b8361.htseq.counts","EsophagusCancer/CountFiles/a1e4d6f2-9a7a-4b3f-907d-da785549c0a5","Primary Tumor"
"12","cf9167eb-8b16-4707-ac37-bee20f2825d3.htseq.counts","EsophagusCancer/CountFiles/98d53bcf-5d53-47df-874e-3166f24b3060","Primary Tumor"
"13","76e26c2b-3318-4bcd-87df-4bcccdce9643.htseq.counts","EsophagusCancer/CountFiles/c6607b76-9186-412d-97d1-f0cf7c180668","Primary Tumor"
"14","bc8d5743-bec0-40b2-ae96-4e6cf133f89b.htseq.counts","EsophagusCancer/CountFiles/292c4a2f-86d8-4621-938f-1c3595bf2e20","Primary Tumor"
"15","b302a5ca-cb3c-4f56-8d0d-dcaa6b779318.htseq.counts","EsophagusCancer/CountFiles/252c2b88-0cea-42eb-b252-722532b2389e","Primary Tumor"
"16","e4b3c9a8-ef5c-457a-85a8-8cc903231ba8.htseq.counts","EsophagusCancer/CountFiles/4f9a36d1-b97a-4cf0-b1c2-b8eb5ffe9568","Primary Tumor"
"17","4ae96ef3-8ed7-4b4f-a0d4-cc10c316e719.htseq.counts","EsophagusCancer/CountFiles/6e8cad17-b488-4d15-b8cc-027f64160a0e","Primary Tumor"
"18","9bef4ae5-c2df-446e-b283-75f5b172fc10.htseq.counts","EsophagusCancer/CountFiles/60248b66-88bc-470f-bd9b-d7185be3fd8e","Primary Tumor"
"19","e5447b08-8a7a-41de-b5d0-0938be628199.htseq.counts","EsophagusCancer/CountFiles/a03c1a39-3b44-4392-9637-4fa2e0cff510","Primary Tumor"
"20","31a7a535-c256-4c8e-bbef-597571b134d6.htseq.counts","EsophagusCancer/CountFiles/1cd68561-f8a3-4e27-b74b-4ebc83532dd4","Solid Tissue Normal"
"21","35de24d8-fed0-41e6-be7c-b67019b9e7d5.htseq.counts","EsophagusCancer/CountFiles/29350c08-1cd0-4214-a175-7c54c6d0ed97","Primary Tumor"
"22","43f1cfcf-5c61-4dcf-9168-9cce41f8673c.htseq.counts","EsophagusCancer/CountFiles/6001e694-b12d-4338-84dd-7180cac79e15","Primary Tumor"
"23","72fe3744-0461-4ea9-b03d-f75929eafc51.htseq.counts","EsophagusCancer/CountFiles/96ac05e3-f331-4d7a-9ff4-f7ca89b451dd","Primary Tumor"
"24","4d8304a1-6e6a-4645-9c1a-6cd8da9ce2e5.htseq.counts","EsophagusCancer/CountFiles/0e4fcdfe-8715-49e2-a64d-8c80ff925980","Primary Tumor"
"25","37fa43b4-8f58-4147-81c9-3886a8855d4b.htseq.counts","EsophagusCancer/CountFiles/f763f1fc-e1b2-4940-8d3b-01d3b5bab8d3","Primary Tumor"
"26","acb73f33-8386-4bf4-a52a-4c2518177da7.htseq.counts","EsophagusCancer/CountFiles/ab380296-c6bd-425d-af7c-3472622c0ddc","Solid Tissue Normal"
"27","61a0320d-aafa-4363-b1c6-80a07b359774.htseq.counts","EsophagusCancer/CountFiles/11300fe4-2a94-4243-ba2c-e7e1cc8552b1","Primary Tumor"
"28","ccf384b4-64fd-4e78-94e7-ead631956184.htseq.counts","EsophagusCancer/CountFiles/fc8e57a1-98f1-41e3-84b8-c7084e0f79fa","Primary Tumor"
"29","834f1044-cf26-4042-b7dd-50486170b28c.htseq.counts","EsophagusCancer/CountFiles/af0ff7e0-5a57-443e-9f1e-74772d401f1b","Primary Tumor"
"30","ad0e027c-d017-4c46-9770-8de5187560b7.htseq.counts","EsophagusCancer/CountFiles/9b1ca989-3066-4425-8812-5af832c82c84","Primary Tumor"
"31","9f78f0ee-0cba-496f-b4a7-026b23cadb95.htseq.counts","EsophagusCancer/CountFiles/03e4c67f-b9b6-4e71-b038-fe76b74699ca","Primary Tumor"
"32","833c4122-521a-44f2-a87e-9f115e3b4ee5.htseq.counts","EsophagusCancer/CountFiles/ec0e6ed4-6abb-4eba-8abc-6118ee42af43","Primary Tumor"
"33","bfcad2ca-d4b2-40b3-bcd3-534d4b41acc2.htseq.counts","EsophagusCancer/CountFiles/4ba79775-8da0-4b19-8eba-be669c30ebe4","Primary Tumor"
"34","ce0d85eb-9854-4570-b497-09039a135d7e.htseq.counts","EsophagusCancer/CountFiles/005edaef-db0e-468a-93f4-f51cf770e7ae","Primary Tumor"
"35","8329e730-1483-4567-af1b-a092cf294879.htseq.counts","EsophagusCancer/CountFiles/b5676a43-e39b-466f-95fa-da9046bd2fdb","Primary Tumor"
"36","a7c2642d-1f1f-4f47-b85a-5836f4b561d8.htseq.counts","EsophagusCancer/CountFiles/8cca2d64-53be-40f7-a624-0b4cc61c99e6","Primary Tumor"
"37","3e4724e7-d7a5-4f3b-b1c0-64805f7008a5.htseq.counts","EsophagusCancer/CountFiles/ffc7dcc6-230b-4885-a089-5aae3c086e3b","Primary Tumor"
"38","1f920941-0118-4f2f-87c2-f3cede2d5f0b.htseq.counts","EsophagusCancer/CountFiles/ffabb734-1394-42b1-be6c-c4b9bfdce621","Primary Tumor"
"39","840cf94a-9a9f-4567-977d-9ab31128ae89.htseq.counts","EsophagusCancer/CountFiles/193e68f5-bba0-420e-95f1-21e20dd1736e","Primary Tumor"
"40","ea453c70-f2b3-4014-ba02-9821a6cb2d85.htseq.counts","EsophagusCancer/CountFiles/ae21ab22-1879-485e-94a8-4f82b59d7eae","Primary Tumor"
"41","85d445d5-e143-4750-937a-4dcc7e2ad2d6.htseq.counts","EsophagusCancer/CountFiles/5b05d019-3df1-435f-9842-6efdae6637f1","Primary Tumor"
"42","388f0fcd-212c-411b-b3e1-7fd8d028ff17.htseq.counts","EsophagusCancer/CountFiles/e0e22a32-eeb3-4661-be31-52ceb953efc0","Primary Tumor"
"43","21cd2e20-5a00-4d1a-9c2b-ce87a447da30.htseq.counts","EsophagusCancer/CountFiles/fedbc418-417f-4e19-9481-67802e605b84","Primary Tumor"
"44","a7563741-4e31-403c-b753-98286dc9effa.htseq.counts","EsophagusCancer/CountFiles/98a73892-6d6f-4bb6-aede-2be89e4c0e57","Primary Tumor"
"45","f81ffc34-a57e-4136-9816-cc498c33eb3a.htseq.counts","EsophagusCancer/CountFiles/72589337-1940-48e2-b4d2-6ffc755a4fde","Primary Tumor"
"46","70b41274-757d-4f93-b5fa-bee568644db9.htseq.counts","EsophagusCancer/CountFiles/faeba90b-b14f-41bd-99cd-505733cece9e","Primary Tumor"
"47","d13f02a5-a644-4aea-a62e-5e4b517fba30.htseq.counts","EsophagusCancer/CountFiles/dd21ab07-cf24-444c-89fb-b9e7b449f9da","Primary Tumor"
"48","aa1e1a6c-2a46-4cd7-8d95-8d69609ecb63.htseq.counts","EsophagusCancer/CountFiles/7704ecad-d0fb-4104-a88d-0c3a5d48cd7b","Primary Tumor"
"49","e328b8e9-2ffa-4cca-af04-5a96f09b9e04.htseq.counts","EsophagusCancer/CountFiles/cdb6f182-056f-4ddc-827e-6d40a9c47066","Primary Tumor"
"50","0786a0c1-10a8-43b7-859c-c33fecff5240.htseq.counts","EsophagusCancer/CountFiles/8990e816-e56f-4318-b7bf-a95788abd8e9","Primary Tumor"
"51","c798d13f-4211-44e9-93e2-23dfcfb9d274.htseq.counts","EsophagusCancer/CountFiles/5effa015-86af-41ef-8c7c-b0f4db8c4840","Primary Tumor"
"52","74451511-b202-41c6-b362-ffb07d8efcfc.htseq.counts","EsophagusCancer/CountFiles/7ad2847e-5560-4223-800a-159962d8a38f","Primary Tumor"
"53","0f1e2e80-1bc6-4c48-abff-06ae9663381c.htseq.counts","EsophagusCancer/CountFiles/21850554-2722-4039-9f81-de7aeaef85c5","Primary Tumor"
"54","19cc3f8e-77b4-4d4e-816d-325aee1f1544.htseq.counts","EsophagusCancer/CountFiles/b80e05dc-29dc-4c36-9422-23a883a5c12e","Primary Tumor"
"55","3a239b72-290f-43d7-ae89-fdfe7f4f5c26.htseq.counts","EsophagusCancer/CountFiles/38033d2f-26ea-423f-a6d1-febea60873e5","Primary Tumor"
"56","ce98141e-6a79-4fb3-b7dd-1abbf452740a.htseq.counts","EsophagusCancer/CountFiles/ce67aeb6-764f-47cf-b8b1-da969d0174ee","Primary Tumor"
"57","134c413b-57dd-4d6e-9a67-ba4780b0e758.htseq.counts","EsophagusCancer/CountFiles/07c8cc99-db2a-4c30-8e75-247707a6027d","Solid Tissue Normal"
"58","50579940-fb3a-41bd-94a1-429eced43449.htseq.counts","EsophagusCancer/CountFiles/c020fe26-af39-40d2-8d38-daf31cbd83da","Primary Tumor"
"59","f181777c-80d8-49fd-a444-22fb7cb2a378.htseq.counts","EsophagusCancer/CountFiles/99523ac1-d3da-4aea-9bd3-f99ed3cb5d20","Primary Tumor"
"60","9150c3aa-680d-4a69-a5bb-19678b1527d6.htseq.counts","EsophagusCancer/CountFiles/3972bc96-a7d4-4eb5-be8c-be613a72f223","Primary Tumor"
"61","edf5bd61-51ee-445b-9420-c95351fc561c.htseq.counts","EsophagusCancer/CountFiles/7f31a095-b8f9-4b03-bd6b-89c4c8a10727","Primary Tumor"
