"","Run","Path","Class"
"1","d7e93acc-cec6-4a70-9b90-37bc080ee5c9.htseq.counts","HeadNeckCancer/CountFiles/a5ac43b6-1b92-4c14-bb3f-081e7a70cdcf","Primary Tumor"
"2","cd486a20-1d8c-46d7-b49e-28f6e0e86ea6.htseq.counts","HeadNeckCancer/CountFiles/b9cc93e1-c67b-4623-9a74-8491cb01eee9","Solid Tissue Normal"
"3","301fe08e-bffe-4f01-9e80-12f61f830cac.htseq.counts","HeadNeckCancer/CountFiles/f708d514-5999-4b33-93e0-97363015b338","Primary Tumor"
"4","1bc56e7f-f29d-4776-984a-2cf3dbf7efc4.htseq.counts","HeadNeckCancer/CountFiles/4397e9b0-2971-44d5-90ac-500f4af28f78","Solid Tissue Normal"
"5","2be3f783-b3cb-4074-b565-d941158f0ff6.htseq.counts","HeadNeckCancer/CountFiles/f751f2ab-b9a1-4370-832a-b9217a747ad5","Primary Tumor"
"6","b4a4cc9a-5053-4968-a54e-be08e53ce2e1.htseq.counts","HeadNeckCancer/CountFiles/ab3c509d-88f7-4e91-80cb-e66519041591","Primary Tumor"
"7","b6479904-c5ce-439c-9d56-990b921bac30.htseq.counts","HeadNeckCancer/CountFiles/a63fbf1b-747e-45ff-8a3e-ec2ffd9828f4","Primary Tumor"
"8","60eeee3f-55f1-468c-b6eb-bd4d8cddc6d1.htseq.counts","HeadNeckCancer/CountFiles/50c36bfb-4ce2-4cc0-916a-92b857593d83","Primary Tumor"
"9","4919d5f0-8f43-4875-a2b1-d145fce8e362.htseq.counts","HeadNeckCancer/CountFiles/3ffd5337-f97c-4d54-888b-3704158d9ffe","Primary Tumor"
"10","3684c680-68bc-4a84-b8f9-13142c6276e6.htseq.counts","HeadNeckCancer/CountFiles/c38556a9-570f-4406-b0f1-8b0d1cfe1829","Solid Tissue Normal"
"11","a7208747-f725-4d83-9fb0-e8e53b497938.htseq.counts","HeadNeckCancer/CountFiles/86a12c44-4853-4ffd-81ae-12c10f1e6c0c","Primary Tumor"
"12","2e648bea-efbd-4700-86f8-300d26e153ee.htseq.counts","HeadNeckCancer/CountFiles/381ec1ca-3c1c-4ac7-a290-d23454263b20","Primary Tumor"
"13","7444bf59-9dfd-4037-b405-c9e45d78b445.htseq.counts","HeadNeckCancer/CountFiles/983cb886-0581-4ccd-a0da-2097ac697c0d","Primary Tumor"
"14","35d3f8a8-6364-43b2-bbd3-c237986f3ee9.htseq.counts","HeadNeckCancer/CountFiles/63ad0a97-76b8-4eda-a858-7edd69bc534c","Primary Tumor"
"15","09001b78-7752-4939-847f-f1674503e4a4.htseq.counts","HeadNeckCancer/CountFiles/fde05aa1-5f97-41b1-9225-b2b58ba435d7","Primary Tumor"
"16","34c3a27a-a4bf-4c6c-b34d-67154354933b.htseq.counts","HeadNeckCancer/CountFiles/6a0f5727-ebc9-4c63-b3c0-0fe54f0f1c15","Primary Tumor"
