File ID	File Name	Data Category	Data Type	Project ID	Case ID	Sample ID	Sample Type
e829dfb2-2113-4471-b4cc-72a0e77bcd89	a73b7250-3437-4279-b3e1-1add31d7b3fc.htseq.counts.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-KIRC	TCGA-CJ-5680	TCGA-CJ-5680-11A	Solid Tissue Normal
d7cc4e9e-cd60-4995-ac43-fff15bbc671d	67de4131-2f71-415f-bac1-33bc14f6438e.htseq.counts.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-KIRC	TCGA-BP-4765	TCGA-BP-4765-01A	Primary Tumor
219fa29f-3da2-4ee1-991f-18dcca25184a	7db35b39-8d3e-4f93-8450-7e494ba9e0f8.htseq.counts.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-KIRC	TCGA-BP-4967	TCGA-BP-4967-01A	Primary Tumor
0396e511-86ab-4d95-8415-ff107764f8ce	0c62cc5b-b61f-4a28-8b42-67407c1e5b83.htseq.counts.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-KIRP	TCGA-G7-A8LC	TCGA-G7-A8LC-01A	Primary Tumor
f83c858c-c5c5-4ba6-94c8-a4a29a749261	e71a1335-d494-46f8-b507-a7b207a01a29.htseq.counts.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-KIRP	TCGA-Y8-A8RZ	TCGA-Y8-A8RZ-01A	Primary Tumor
31afdd90-b09f-429d-9371-16c92c3fa4dd	3ee5534e-db4b-46b4-8d4d-111685eab0c9.htseq.counts.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-KIRC	TCGA-BP-4759	TCGA-BP-4759-01A	Primary Tumor
9fedf3c0-6fe1-49c0-80d2-2613bc1c7759	29e88863-d1b0-4da0-be95-d0a82eb1d08b.htseq.counts.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-KIRC	TCGA-B8-A7U6	TCGA-B8-A7U6-01A	Primary Tumor
8335e3de-2cd3-4175-afee-8abbbf44bd0a	91f4add6-50e3-48a0-b332-2946389309db.htseq.counts.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-KIRC	TCGA-B2-3923	TCGA-B2-3923-01B	Primary Tumor
f82e58a1-05b3-46e3-b5a8-2565297fa762	a0c716d7-ab86-4381-9f1c-11f5e4d386ca.htseq.counts.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-KIRC	TCGA-CJ-5684	TCGA-CJ-5684-01A	Primary Tumor
eaafd85b-44d4-41d2-a898-c882de2ccdd2	f0532052-b496-4435-abc4-93e23c6a68a5.htseq.counts.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-KIRC	TCGA-B0-5084	TCGA-B0-5084-01A	Primary Tumor
9c546435-1d9a-4557-b296-df0800dfa995	3f4c303e-97a4-4171-b389-0d8dfce24aa7.htseq.counts.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-KIRC	TCGA-B0-5709	TCGA-B0-5709-11A	Solid Tissue Normal
a5c447f1-4f97-482c-83e0-3f0ed63c9a78	45ca61f5-eb78-4bd3-af3a-9847ac6e1a14.htseq.counts.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-KIRC	TCGA-B0-4843	TCGA-B0-4843-01A	Primary Tumor
9c9d5ecc-f8e5-45fd-8a2a-6cad5b08e00d	e1e8bd0c-ea43-45fb-9e42-80b37df2ee3b.htseq.counts.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-KIRP	TCGA-GL-6846	TCGA-GL-6846-11A	Solid Tissue Normal
051d3b55-a9f1-4f26-bcff-0dd28044d282	a85824a2-de8d-4c52-942f-d8af5fe92ea9.htseq.counts.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-KIRC	TCGA-CZ-5987	TCGA-CZ-5987-11A	Solid Tissue Normal
84fdf46e-bfff-4ec2-a9fa-e05c816a7a80	a2225f76-3b17-494d-81b6-5c68b73150ff.htseq.counts.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-KIRC	TCGA-B0-5713	TCGA-B0-5713-01A	Primary Tumor
90c1150b-96d4-4d4f-a5b1-650bb7862f96	fabbefc8-53b5-42e4-9a54-39280d18f419.htseq.counts.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-KIRC	TCGA-BP-4974	TCGA-BP-4974-01A	Primary Tumor
9e109fbe-8a9c-4f4e-8c7f-4d207f4bb71a	ace931f9-743c-4699-9198-2a93bf20b6aa.htseq.counts.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-KIRC	TCGA-BP-4981	TCGA-BP-4981-01A	Primary Tumor
2ff3f415-bd55-4481-84b2-8ae67dbce5b5	f3876e31-2267-458d-826f-769bcfb34e56.htseq.counts.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-KIRC	TCGA-CJ-4639	TCGA-CJ-4639-01A	Primary Tumor
da12f45b-d6ab-456b-aeda-28ccee960c80	ec2e0f42-85e7-48be-ba3c-1afcee0e7e1b.htseq.counts.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-KIRC	TCGA-B0-4822	TCGA-B0-4822-01A	Primary Tumor
f5a44e09-4038-4ff2-88f9-8443ead7a103	1a13663e-9015-4eeb-ab6a-8f40a8bbf403.htseq.counts.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-KIRC	TCGA-BP-4807	TCGA-BP-4807-01A	Primary Tumor
65bb4c18-acb3-4caa-835d-075d2d6a20bf	cf503a9b-6af6-461a-8833-a6d26c99bdb7.htseq.counts.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-KIRC	TCGA-CW-6087	TCGA-CW-6087-11A	Solid Tissue Normal
71668b57-2750-4f49-9ab7-098d66aa9c85	26a6f9a8-7fb5-4a18-bebb-bdb9ad451116.htseq.counts.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-KIRC	TCGA-B0-5709	TCGA-B0-5709-01A	Primary Tumor
d926deb0-d7b4-402a-a002-96ef5c7d4d13	3dce2e68-bcf1-42b6-9374-b2724a0f5242.htseq.counts.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-KIRC	TCGA-B0-5690	TCGA-B0-5690-11A	Solid Tissue Normal
0d189924-862a-4fc1-ae1c-85f13d5bf8ad	1e69236e-5526-4bf1-8de5-35d50a71f227.htseq.counts.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-KIRC	TCGA-B0-5100	TCGA-B0-5100-01A	Primary Tumor
d222e400-bb6f-4a2c-a8ff-629a55fd03b5	390a7a27-3687-44a4-8e4c-7b343e418475.htseq.counts.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-KIRC	TCGA-CJ-4895	TCGA-CJ-4895-01A	Primary Tumor
ffa1ce78-edba-4e59-9ebc-083f68098726	e3a5afb5-1d0e-499c-a40b-4d7ffe6454e3.htseq.counts.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-KICH	TCGA-KN-8427	TCGA-KN-8427-11A	Solid Tissue Normal
51cf6da0-aa2e-43cd-b72e-5b5901a93348	543d90e4-9064-47c2-a68d-fb123f627977.htseq.counts.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-KIRC	TCGA-B0-4821	TCGA-B0-4821-01A	Primary Tumor
b1b14371-3b25-4450-8895-ee6e27fe36ec	bbc8e3e4-ff61-49ea-8624-e0b5b078562e.htseq.counts.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-KIRC	TCGA-AS-3777	TCGA-AS-3777-01A	Primary Tumor
d436e00d-2964-493a-a24c-2c24c1b0aee1	891f9d70-e716-4fc9-b53e-f120da74eea3.htseq.counts.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-KIRC	TCGA-CJ-4882	TCGA-CJ-4882-01A	Primary Tumor
edeeea64-287f-43d8-a3e2-64d3d16f3168	b96fb7a6-9e5c-48ce-9ef8-aaef675cdfdd.htseq.counts.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-KIRC	TCGA-DV-A4VZ	TCGA-DV-A4VZ-01A	Primary Tumor
19c998c3-e83a-42dc-889b-bd16393b6adc	576dfeab-3d42-4c3d-be8f-10279e800cfb.htseq.counts.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-KIRC	TCGA-BP-5178	TCGA-BP-5178-01A	Primary Tumor
9826cbe3-3fb6-4a6d-828d-bacceadc51ed	e7f07f98-8dbf-4884-8d45-318671c15c98.htseq.counts.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-KIRC	TCGA-BP-4761	TCGA-BP-4761-01A	Primary Tumor
8e6b3ef2-fe39-41ee-9826-eba3e772efcb	309c2415-06e2-405d-801f-1d8ddb89c0ba.htseq.counts.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-KIRC	TCGA-CJ-6032	TCGA-CJ-6032-01A	Primary Tumor
bdf82307-9836-4521-ae6c-580a7c56a99a	73e6cc52-f4fe-4168-9dd0-d6d28879cc95.htseq.counts.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-KIRC	TCGA-AK-3431	TCGA-AK-3431-01A	Primary Tumor
c01ecb8b-8c57-4d44-b109-e03a436c1c0c	6a97d5c5-4178-4ced-b279-a2d5044f1fdb.htseq.counts.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-KIRC	TCGA-CJ-4638	TCGA-CJ-4638-01A	Primary Tumor
b15ef305-d2be-4503-9953-a116f8aa5b9b	d7e7ad52-ecde-4744-b4e7-28dea4d186da.htseq.counts.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-KIRC	TCGA-CW-5583	TCGA-CW-5583-01A	Primary Tumor
0c0c7ac6-aa7e-4d5c-bc25-eea6e09cb83e	22ec8ef1-957b-468e-b101-a9e088f86338.htseq.counts.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-KIRC	TCGA-BP-4959	TCGA-BP-4959-01A	Primary Tumor
c9bcdcf0-6e22-4b0f-95f4-e3b983e51988	57be3f81-6dbb-4257-a4b5-f823e30d76bf.htseq.counts.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-KIRC	TCGA-BP-4162	TCGA-BP-4162-01A	Primary Tumor
26315240-b1bd-4a15-8e07-43b6aab822bd	dcc0b93e-257f-48ce-b052-4de18db8d3ff.htseq.counts.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-KIRC	TCGA-B4-5844	TCGA-B4-5844-01A	Primary Tumor
6dd83c4d-fe7a-47b1-b2de-92af75291c78	ae2e66c6-a69c-45c6-8584-82b4da9899e0.htseq.counts.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-KIRC	TCGA-CZ-5466	TCGA-CZ-5466-11A	Solid Tissue Normal
28ac8ad7-98d4-4430-a310-c351e5b1c455	58f96018-2cf5-4e6b-bec0-b8c79da62bce.htseq.counts.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-KIRC	TCGA-CZ-4866	TCGA-CZ-4866-01A	Primary Tumor
8d174dcd-9961-4ea0-a411-f17dd4bb14ae	5a3464e6-9879-4053-9ef3-0247533383f3.htseq.counts.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-KICH	TCGA-KL-8324	TCGA-KL-8324-01A	Primary Tumor
30738eec-581d-42e8-b421-90e60f3901c8	4022b015-99bb-4db7-9769-f96609018011.htseq.counts.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-KIRP	TCGA-A4-7583	TCGA-A4-7583-01A	Primary Tumor
55776ce6-459d-4e47-86f2-80c73220853f	6df7df4d-938a-4ad6-a5a3-a51ba0b7dec2.htseq.counts.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-KIRP	TCGA-MH-A854	TCGA-MH-A854-01A	Primary Tumor
5fbce707-1518-449b-9076-784b3d6f3276	02d58612-fa28-4d8e-b933-95f5f01602d3.htseq.counts.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-KIRP	TCGA-BQ-7055	TCGA-BQ-7055-11A	Solid Tissue Normal
259728af-0e54-4e90-ab0e-2d298c46d432	bf688e5b-c62b-424c-b974-5c8b24e46764.htseq.counts.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-KIRC	TCGA-B0-4690	TCGA-B0-4690-01A	Primary Tumor
06b98f02-9853-4c2f-87fa-1e0a454ef4bc	b42d8f67-8e05-4302-ae87-783dfb38a58a.htseq.counts.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-KIRC	TCGA-CZ-5455	TCGA-CZ-5455-11A	Solid Tissue Normal
44d2cbcc-4084-4de2-b2bd-fc43a5e2495c	1d5e8f90-0bfc-4a01-b988-925f3c0ec1cf.htseq.counts.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-KIRC	TCGA-BP-4352	TCGA-BP-4352-01A	Primary Tumor
2707fd6a-c885-48b6-a44c-7c9644d08025	b25e8317-280f-4d1d-a65f-67bb2a20268d.htseq.counts.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-KIRC	TCGA-BP-4989	TCGA-BP-4989-01A	Primary Tumor
0085c623-bcdd-4b71-960c-a42acd0e53e4	801c2c60-5dc2-43f7-949f-18b5a35a4ca3.htseq.counts.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-KIRC	TCGA-CZ-5989	TCGA-CZ-5989-11A	Solid Tissue Normal
7c33102a-cbaf-4884-b54f-3eebff36861a	d8f882f6-d25a-42dc-9444-02e1d8cb7608.htseq.counts.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-KIRC	TCGA-BP-4334	TCGA-BP-4334-01A	Primary Tumor
3fd3d1ba-67f4-4380-800b-af1d8f39b40c	2f3f4579-6282-43a1-9f75-bac712f1f0d6.htseq.counts.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-KIRC	TCGA-BP-4766	TCGA-BP-4766-01A	Primary Tumor
1b7013e1-8acb-4c8a-9012-1b4a8c29fe75	e4b1ed66-ee93-4b3f-922f-f386412247ec.htseq.counts.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-KIRC	TCGA-CZ-5982	TCGA-CZ-5982-11A	Solid Tissue Normal
