"","Run","Path","Class"
"1","996d1cd9-fbf6-4b47-ad81-3ebc305a8837.htseq.counts","LarynxCancer/CountFiles/564765f8-d7fa-438c-9105-f0b850853c3c","Primary Tumor"
"2","df0459ef-6e9f-46c2-8288-1179f0ae091d.htseq.counts","LarynxCancer/CountFiles/40c375ae-e9eb-42f2-bd8c-e122352d1e67","Primary Tumor"
"3","49893832-1a4f-477c-bcdd-f904d8399b4b.htseq.counts","LarynxCancer/CountFiles/af01c84f-dace-4c11-997a-37bde4cedd94","Primary Tumor"
"4","9901dccf-afd1-4ebf-9efd-5aed4de03636.htseq.counts","LarynxCancer/CountFiles/06f89bc6-2e97-4bfa-989c-4934e7f28f05","Primary Tumor"
"5","c5d86cae-cf78-4831-a5f4-bbfce5f496ee.htseq.counts","LarynxCancer/CountFiles/a0c9c4e2-b1c4-49cb-a009-cee2aafa8104","Primary Tumor"
"6","6575cdf0-09dd-4511-a487-d201184ecce0.htseq.counts","LarynxCancer/CountFiles/f480bebb-6a2c-4c8b-842b-9c3ac7c4ae38","Primary Tumor"
"7","cf3dbfa8-f751-43bd-8df2-229bd34978eb.htseq.counts","LarynxCancer/CountFiles/8c326fb7-18f4-44ec-a2c8-479ce33fda20","Primary Tumor"
"8","f5659309-d6c2-49de-a04b-4734e2b70093.htseq.counts","LarynxCancer/CountFiles/07458e60-4784-4ba5-963c-a9acb12444e0","Primary Tumor"
"9","f3ef5625-ff89-4e70-9844-275edeabcb88.htseq.counts","LarynxCancer/CountFiles/e9cec958-908e-4011-8c36-4156b594c72b","Primary Tumor"
"10","6c8c027a-bc7f-4a73-b962-071b4decd6a9.htseq.counts","LarynxCancer/CountFiles/f26deb3a-a615-4678-865d-0e1b6c3ca046","Primary Tumor"
"11","cb7df6d7-2b33-4d50-82ae-706d8a237270.htseq.counts","LarynxCancer/CountFiles/b01bdd7d-e02b-466e-b60d-fb6f1e31f919","Primary Tumor"
"12","6b7a43cb-ff8f-4a5d-a6fe-61eec2f789a4.htseq.counts","LarynxCancer/CountFiles/d743617a-f053-4abf-aa41-3eca383262be","Primary Tumor"
"13","fb3bc987-c15c-4c73-a9cb-5312f548805b.htseq.counts","LarynxCancer/CountFiles/4dcbd438-8c68-4b00-b81b-989577ceda0d","Primary Tumor"
"14","852726f5-cf78-4e8a-bafb-be78aed6eea7.htseq.counts","LarynxCancer/CountFiles/82cfb1c3-e32b-427f-98cc-fe54909ac06a","Primary Tumor"
"15","2b96185f-43b4-4581-b74c-329e870252a0.htseq.counts","LarynxCancer/CountFiles/c8f7bd7e-b434-42cf-9bb3-415decab5b05","Solid Tissue Normal"
"16","29c24d83-b40f-443e-81db-f764c4b03d36.htseq.counts","LarynxCancer/CountFiles/604d9cf2-ba6b-4be5-80e0-baf0d6ecc9db","Primary Tumor"
"17","75fc5562-132a-471c-95bd-983ea1d497b7.htseq.counts","LarynxCancer/CountFiles/b51ed084-8eee-43e4-9dbd-570ec4df8880","Primary Tumor"
"18","34404ab0-933f-43f5-89a6-38af91b8d65d.htseq.counts","LarynxCancer/CountFiles/acd29c8d-3356-424d-b40f-ba3f00e6047c","Primary Tumor"
"19","ad86d99e-5d4c-4d7d-8644-3616502c006f.htseq.counts","LarynxCancer/CountFiles/ce45adac-fa61-4ba2-a95e-51157cf4615b","Primary Tumor"
"20","df4c0fd3-2ca8-43c0-94e3-a7c972fa01bb.htseq.counts","LarynxCancer/CountFiles/d3c2a302-6b87-48bf-aad1-3dcb0c352828","Primary Tumor"
"21","332578e8-f23f-48f3-912f-afedc27dcc6e.htseq.counts","LarynxCancer/CountFiles/db5f06cf-714c-4da8-8058-09a5b4dcaf33","Primary Tumor"
"22","029e3d06-38b8-425c-8e4b-27b72cf71afd.htseq.counts","LarynxCancer/CountFiles/6a03be9a-9086-4875-80c0-df219c8c438a","Primary Tumor"
"23","82dcf543-77eb-416d-ae9f-2d7cce203d63.htseq.counts","LarynxCancer/CountFiles/11432de6-8437-4cdb-b8fe-c247221122e3","Primary Tumor"
"24","5845a5be-e598-4b7e-8abb-960620c2b47b.htseq.counts","LarynxCancer/CountFiles/bf307194-093f-4fb0-867c-7db696aca1e8","Primary Tumor"
"25","6a38fa25-a6cb-411f-9028-3094b34dbdbb.htseq.counts","LarynxCancer/CountFiles/887e2e89-af5f-49ee-b54c-ef9d323ddde9","Primary Tumor"
"26","f4d49fea-2d9b-450f-ada5-1cbeabb24d34.htseq.counts","LarynxCancer/CountFiles/43897c39-4597-4974-a881-4fb58bd76755","Primary Tumor"
"27","f95d940d-7b92-49a5-a1e8-b8ee263ae306.htseq.counts","LarynxCancer/CountFiles/84edcd0c-a7b1-4465-987a-a69a9841137c","Solid Tissue Normal"
"28","69d1abd5-756b-4a19-bf2a-dd02ff73d713.htseq.counts","LarynxCancer/CountFiles/6f0f57e1-6cb1-4891-9977-b46dc0939ea7","Primary Tumor"
"29","c4495910-1d50-4a05-8f9b-50f7e34ba56f.htseq.counts","LarynxCancer/CountFiles/4ce3fb6e-bdc3-4633-974e-c6732a25b481","Primary Tumor"
"30","6d04eabc-a986-4091-9b44-cb6d743e5384.htseq.counts","LarynxCancer/CountFiles/a955619c-89ae-4b6f-ae23-a9365023958c","Solid Tissue Normal"
"31","a0ba142c-00e4-4ad9-8f2d-b53457bb21c8.htseq.counts","LarynxCancer/CountFiles/0bd6bed4-4187-44c5-affc-2b3f5d5c7e67","Primary Tumor"
"32","42c0a807-3b90-42cc-aad8-6a86b3ee9c2b.htseq.counts","LarynxCancer/CountFiles/a44747b5-176f-4e0f-bbe4-993efadf7187","Primary Tumor"
"33","7eae255c-2021-401e-8729-f05dcc512f69.htseq.counts","LarynxCancer/CountFiles/20065f98-f2c0-4d3e-a7a7-bf6dc9dc856a","Primary Tumor"
"34","62d1ce0e-55a8-4c31-9e96-e0c0cb95235f.htseq.counts","LarynxCancer/CountFiles/3b6d7876-ff39-407a-88b9-74ea88be970a","Solid Tissue Normal"
"35","5836155c-0ded-4b78-a7fc-04ae119cab2b.htseq.counts","LarynxCancer/CountFiles/ec7dd846-c829-4119-bcf6-5196e427475c","Solid Tissue Normal"
"36","4060c24e-a2ef-457f-ae38-9a13e0a446df.htseq.counts","LarynxCancer/CountFiles/13ea889a-a024-44ca-9dea-5f4f6e9588b6","Primary Tumor"
"37","dd882230-273d-4ec3-931b-0765fb7fb811.htseq.counts","LarynxCancer/CountFiles/8ea5b238-1405-42df-b341-954032921728","Primary Tumor"
