File ID	File Name	Data Category	Data Type	Project ID	Case ID	Sample ID	Sample Type
da7aca0d-9d01-4a37-aa89-53624b886931	141008f6-24cb-4004-a96b-e4aaea71d75d.htseq.counts.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-LIHC	TCGA-QA-A7B7	TCGA-QA-A7B7-01A	Primary Tumor
a0b3779d-ddca-4866-b137-f65315588524	efd191af-85cb-43d6-a661-e5248e974682.htseq.counts.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-LIHC	TCGA-DD-A39W	TCGA-DD-A39W-01A	Primary Tumor
27a0a6d7-20c4-4fe1-bbe4-d0416a0a3670	d2bf6185-08a5-4a73-9f87-7164cca1ccf6.htseq.counts.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-LIHC	TCGA-CC-5259	TCGA-CC-5259-01A	Primary Tumor
da0f223e-0430-4e7b-a290-93c700f53de0	76c7ff87-5595-47d6-8c41-69de3d8afb10.htseq.counts.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-LIHC	TCGA-CC-A7IF	TCGA-CC-A7IF-01A	Primary Tumor
e19fc1b6-7957-4c6e-9e54-b6ea3319cedf	5fe28ffa-63af-4a8d-8512-b0742b4cded4.htseq.counts.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-LIHC	TCGA-CC-A7II	TCGA-CC-A7II-01A	Primary Tumor
fd27d631-a58f-45a5-af6f-36753d84a157	5f94c33f-588b-4b6a-9c13-4505b0f94403.htseq.counts.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-LIHC	TCGA-DD-A3A1	TCGA-DD-A3A1-11A	Solid Tissue Normal
4d7b644e-68ee-4405-af57-2af04313e87a	554f6de3-63c7-47b1-a75a-dcfc73f54e96.htseq.counts.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-LIHC	TCGA-PD-A5DF	TCGA-PD-A5DF-01A	Primary Tumor
8bf550b9-0ae8-472a-9215-115c91f8593b	b7e1f458-b426-4e4e-b4db-e0472396198b.htseq.counts.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-LIHC	TCGA-BC-A112	TCGA-BC-A112-01A	Primary Tumor
b4ab1096-aa57-4d8e-a988-bfd9b971cbb4	a762a98f-9041-47e2-8561-46fa6e396f12.htseq.counts.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-LIHC	TCGA-WQ-A9G7	TCGA-WQ-A9G7-01A	Primary Tumor
191bf202-353b-4651-b3bd-4a57398bbd2b	1235fe2a-abed-4c88-8e82-36b0fed0c357.htseq.counts.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-LIHC	TCGA-DD-A3A5	TCGA-DD-A3A5-01A	Primary Tumor
407950b7-f2b7-4db5-bc3c-f50934cb98ac	7807318b-32d2-480e-805a-911d90f43e52.htseq.counts.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-LIHC	TCGA-DD-AADF	TCGA-DD-AADF-01A	Primary Tumor
a281dee6-0cc3-44a2-b323-ebfd9b805f7e	f32c1def-c5c6-4076-966e-ae5f7233060a.htseq.counts.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-LIHC	TCGA-DD-A4NO	TCGA-DD-A4NO-01A	Primary Tumor
3eb82ff4-179f-44ec-a335-4010f2b71495	ffeed225-c2a3-4b4c-954c-4816903782a9.htseq.counts.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-LIHC	TCGA-ED-A5KG	TCGA-ED-A5KG-01A	Primary Tumor
5d06b081-fd28-4fd7-90c7-2c00539f427b	e8aae9c3-1e7d-4f47-bd78-c96f55f992db.htseq.counts.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-LIHC	TCGA-DD-AAW1	TCGA-DD-AAW1-01A	Primary Tumor
b4721ad6-08c5-415f-a91a-b97c16e203fb	7085ee3a-b604-4a12-a877-63eef2d905e8.htseq.counts.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-LIHC	TCGA-RC-A6M4	TCGA-RC-A6M4-01A	Primary Tumor
