"","Run","Path","Class"
"1","141008f6-24cb-4004-a96b-e4aaea71d75d.htseq.counts","LiverCancer/CountFiles/da7aca0d-9d01-4a37-aa89-53624b886931","Primary Tumor"
"2","efd191af-85cb-43d6-a661-e5248e974682.htseq.counts","LiverCancer/CountFiles/a0b3779d-ddca-4866-b137-f65315588524","Primary Tumor"
"3","d2bf6185-08a5-4a73-9f87-7164cca1ccf6.htseq.counts","LiverCancer/CountFiles/27a0a6d7-20c4-4fe1-bbe4-d0416a0a3670","Primary Tumor"
"4","76c7ff87-5595-47d6-8c41-69de3d8afb10.htseq.counts","LiverCancer/CountFiles/da0f223e-0430-4e7b-a290-93c700f53de0","Primary Tumor"
"5","5fe28ffa-63af-4a8d-8512-b0742b4cded4.htseq.counts","LiverCancer/CountFiles/e19fc1b6-7957-4c6e-9e54-b6ea3319cedf","Primary Tumor"
"6","5f94c33f-588b-4b6a-9c13-4505b0f94403.htseq.counts","LiverCancer/CountFiles/fd27d631-a58f-45a5-af6f-36753d84a157","Solid Tissue Normal"
"7","554f6de3-63c7-47b1-a75a-dcfc73f54e96.htseq.counts","LiverCancer/CountFiles/4d7b644e-68ee-4405-af57-2af04313e87a","Primary Tumor"
"8","b7e1f458-b426-4e4e-b4db-e0472396198b.htseq.counts","LiverCancer/CountFiles/8bf550b9-0ae8-472a-9215-115c91f8593b","Primary Tumor"
"9","a762a98f-9041-47e2-8561-46fa6e396f12.htseq.counts","LiverCancer/CountFiles/b4ab1096-aa57-4d8e-a988-bfd9b971cbb4","Primary Tumor"
"10","1235fe2a-abed-4c88-8e82-36b0fed0c357.htseq.counts","LiverCancer/CountFiles/191bf202-353b-4651-b3bd-4a57398bbd2b","Primary Tumor"
"11","7807318b-32d2-480e-805a-911d90f43e52.htseq.counts","LiverCancer/CountFiles/407950b7-f2b7-4db5-bc3c-f50934cb98ac","Primary Tumor"
