File ID	File Name	Data Category	Data Type	Project ID	Case ID	Sample ID	Sample Type
5c3526dd-343b-452b-bd79-876af18dbbc9	ac5bc405-b210-4bf3-a4e6-6ff071aa59c7.htseq.counts.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-LUAD	TCGA-44-6778	TCGA-44-6778-11A	Solid Tissue Normal
f454b333-e1bc-4934-b519-14015a9c2816	feb99183-103f-4ca1-b61a-b88227826952.htseq.counts.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-LUAD	TCGA-78-7159	TCGA-78-7159-01A	Primary Tumor
cc893b4f-c25d-4fa5-97af-f399bed9ac65	a7ac2239-f60b-40a2-b931-5aa9b3adc8d8.htseq.counts.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-LUAD	TCGA-69-8255	TCGA-69-8255-01A	Primary Tumor
fb34698a-954b-4f8b-ab71-93818142eb61	e3b11f64-075b-49d2-8d18-85afab1cff82.htseq.counts.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-LUAD	TCGA-44-3398	TCGA-44-3398-01A	Primary Tumor
414b0acf-6dde-4a4a-9e34-ecc849905a33	989ceb12-2999-420a-a5b6-608012c1ef83.htseq.counts.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-LUAD	TCGA-38-7271	TCGA-38-7271-01A	Primary Tumor
0e1ed904-8ccd-43a6-9c4f-7fdcd06d1982	c6bb0ad7-6fbe-4436-adf7-f2e87b5384fe.htseq.counts.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-LUAD	TCGA-MP-A4SY	TCGA-MP-A4SY-01A	Primary Tumor
464ea777-62fe-4191-bfec-818e6bb0234b	d370b7a3-a534-4190-a6d0-79276273093c.htseq.counts.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-LUAD	TCGA-L4-A4E5	TCGA-L4-A4E5-01A	Primary Tumor
54a57813-e303-4f40-af5b-cc31dcdb08f4	be6f5b47-f164-4947-9b35-02f94248e462.htseq.counts.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-LUAD	TCGA-78-7167	TCGA-78-7167-01A	Primary Tumor
fbf6b068-0b71-473e-99b1-a873516b910c	29b681e1-b036-4b63-9113-59bb58618c8a.htseq.counts.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-LUAD	TCGA-50-5049	TCGA-50-5049-01A	Primary Tumor
72645086-713d-4d81-a18d-31bca94aa137	53e1ec28-49b8-4a9e-b4e3-f44fd44b68c9.htseq.counts.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-LUAD	TCGA-55-8085	TCGA-55-8085-01A	Primary Tumor
86299d6c-f27a-48db-b096-8db40e753b03	58ce6671-f931-42fc-acb2-fac1ad460a22.htseq.counts.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-LUAD	TCGA-75-6214	TCGA-75-6214-01A	Primary Tumor
d94833ee-dce5-4e3e-a61c-1496033a91fc	41d10ca9-cd89-4884-ad20-2d36cb1125a2.htseq.counts.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-LUAD	TCGA-05-4397	TCGA-05-4397-01A	Primary Tumor
ecd9091a-4d46-4a74-ada2-24c4b2e64526	6ad59e49-f417-4144-9c13-51b24f66422a.htseq.counts.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-LUAD	TCGA-55-6982	TCGA-55-6982-01A	Primary Tumor
fbe2c696-f0fc-4ab2-a8ae-f67b42de606f	9fc18ac7-7fce-4840-b2c5-5daac7e422cf.htseq.counts.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-LUAD	TCGA-78-7145	TCGA-78-7145-01A	Primary Tumor
f0a6a65a-9ee6-4df5-9f02-d1120b1efd9e	ee6fc916-052f-4fab-974f-119ab34078d6.htseq.counts.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-LUAD	TCGA-86-8055	TCGA-86-8055-01A	Primary Tumor
b0ea806a-7060-47e2-98a9-44e823092493	e24a7d5b-0da7-4f1b-aca1-9dc89e6b281c.htseq.counts.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-LUAD	TCGA-44-A47B	TCGA-44-A47B-01A	Primary Tumor
1094c6ec-57ea-49da-a77e-f8028b03b4e7	c9381f51-ec09-4487-88a4-8e94452e4893.htseq.counts.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-LUAD	TCGA-44-7671	TCGA-44-7671-01A	Primary Tumor
a3eec6fd-74e2-4683-8d54-e72e628fabf6	cd1665ab-4599-49b1-9d3d-b106dfbf8bcc.htseq.counts.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-LUAD	TCGA-44-6145	TCGA-44-6145-11A	Solid Tissue Normal
2aa3a12c-43ad-4780-8ad0-f1fb943a34c8	b0937926-a768-41bd-80bc-68d4e5743f8c.htseq.counts.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-LUAD	TCGA-49-4487	TCGA-49-4487-01A	Primary Tumor
6053694e-8b83-4f2e-9558-9cee6a0f3645	c63458fd-9b68-40d2-86a4-dc69f9946c36.htseq.counts.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-LUAD	TCGA-44-3917	TCGA-44-3917-01B	Primary Tumor
59eddb0a-a7ff-4bfe-b62a-331438574630	d5fd50e4-2068-4cfc-9b04-3976f9fd7940.htseq.counts.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-LUAD	TCGA-78-7539	TCGA-78-7539-01A	Primary Tumor
c11586bf-45c4-4d16-9f80-09dd4594a181	5c678d4a-febe-4ae5-ac68-8372f5f928dd.htseq.counts.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-LUAD	TCGA-55-8512	TCGA-55-8512-01A	Primary Tumor
34d0ce62-261b-4080-bf87-c4eb40f7afae	69918dce-8729-48a2-8294-a8b6b72c02e7.htseq.counts.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-LUAD	TCGA-49-4514	TCGA-49-4514-01A	Primary Tumor
a01a82c0-4eca-4e51-a58e-a15e15effcdb	6449f2b6-1af9-4612-abde-ac0f5bb1ff7e.htseq.counts.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-LUAD	TCGA-78-7220	TCGA-78-7220-01A	Primary Tumor
f6bc8cb1-ba90-457b-85a6-4172d705bd50	a1231612-345f-4ff4-8ee9-c5e596357f76.htseq.counts.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-LUAD	TCGA-86-8358	TCGA-86-8358-01A	Primary Tumor
bfba24cd-18e3-4bff-a697-80a1540fd0d8	dbebc784-425a-4946-b5e1-cb43c349c398.htseq.counts.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-LUAD	TCGA-95-7567	TCGA-95-7567-01A	Primary Tumor
4a2ff64f-e298-4999-9337-6f8389c4b0b3	f98edf9e-796d-4eb5-b86a-8d41748279b8.htseq.counts.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-LUAD	TCGA-62-A46P	TCGA-62-A46P-01A	Primary Tumor
90c51069-913b-40b7-aa49-87d7c83f8da0	69ad4bfb-b94a-4b72-986b-d6a73febd362.htseq.counts.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-LUAD	TCGA-91-6835	TCGA-91-6835-01A	Primary Tumor
0330210e-0c1d-4e5d-82c0-732770bfea7b	508976fe-e7a9-4743-a098-2fb0cbe32f8d.htseq.counts.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-LUAD	TCGA-49-6767	TCGA-49-6767-01A	Primary Tumor
171a5026-75e9-48fe-80b2-5bd20c7c6a16	fe232ef7-4d50-4dfc-bea1-6b6a7a3e4135.htseq.counts.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-LUAD	TCGA-49-AAR4	TCGA-49-AAR4-01A	Primary Tumor
c30f5358-067d-420c-a516-ae7880e8527d	e5ea329f-8042-479c-b8ff-fb752b6b44e0.htseq.counts.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-LUAD	TCGA-69-A59K	TCGA-69-A59K-01A	Primary Tumor
338a7322-d9b1-4c3f-8119-7c3aef5d9f40	cdb40040-4357-4d85-ae62-91c38d4806d1.htseq.counts.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-LUAD	TCGA-MP-A5C7	TCGA-MP-A5C7-01A	Primary Tumor
039ccbdc-6daa-4fa3-bf07-2b0f887fee2e	b9e1ccfb-5124-4f8a-8f6e-8ecfeaa54e9e.htseq.counts.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-LUAD	TCGA-78-7150	TCGA-78-7150-01A	Primary Tumor
c56b4ece-fc5c-4c53-a4f1-477537b33c8a	fde67178-6278-4872-a2c4-cfa32f71fdbe.htseq.counts.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-LUAD	TCGA-49-6744	TCGA-49-6744-11A	Solid Tissue Normal
eedd51b0-54fe-4059-8586-b26777043d42	8458d0dd-5bc6-42e7-a60d-2953cec4ac9d.htseq.counts.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-LUAD	TCGA-50-8457	TCGA-50-8457-01A	Primary Tumor
433cc4db-ff0f-4d4a-ab20-29675ade1dd9	491c7f67-a4c0-4d26-949e-773cb0f123ae.htseq.counts.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-LUAD	TCGA-55-8206	TCGA-55-8206-01A	Primary Tumor
cebde574-89a9-4d85-a778-b54a32af3d21	a9452e8a-decb-49e4-b4f6-3db74539643b.htseq.counts.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-LUAD	TCGA-99-8033	TCGA-99-8033-01A	Primary Tumor
8fd10531-b532-4b00-83e7-03fb5ac3ed5c	3b1e8e56-f2a3-4a3f-8f99-ba8a8f33152c.htseq.counts.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-LUAD	TCGA-49-4494	TCGA-49-4494-01A	Primary Tumor
cd6080f8-8633-4e33-b29b-0c95491d2d48	0d7f880c-c4c5-4335-b49e-5f321f841840.htseq.counts.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-LUAD	TCGA-55-5899	TCGA-55-5899-01A	Primary Tumor
ffdf38f8-864c-4354-bcb3-83617bbbcff5	eef74b1b-b56d-4c1e-8524-952542b64eb0.htseq.counts.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-LUAD	TCGA-86-8281	TCGA-86-8281-01A	Primary Tumor
632fff55-afd0-4885-a594-e8a4a2828b5e	12e07df9-d348-41de-9b87-9da18df6934b.htseq.counts.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-LUAD	TCGA-38-4627	TCGA-38-4627-01A	Primary Tumor
19c12738-c5ee-4340-ab01-5adefc8beb3c	3a360c80-e06f-4e38-a29d-3e4514047b76.htseq.counts.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-LUAD	TCGA-91-8499	TCGA-91-8499-01A	Primary Tumor
0fb60734-2ff0-4974-9c8b-7313c06ceef9	29326e2f-eab7-445d-93e7-9290731745e7.htseq.counts.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-LUAD	TCGA-55-8505	TCGA-55-8505-01A	Primary Tumor
553f585c-8dbd-42ed-8d3e-1eb42c15ae0c	05d2b1e9-22a4-4369-b622-63846d672875.htseq.counts.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-LUAD	TCGA-MP-A4T6	TCGA-MP-A4T6-01A	Primary Tumor
5b3cd6a9-caef-4030-9370-b8c5662d5817	701cb0e2-a169-47ce-b34a-4bb86501c82d.htseq.counts.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-LUAD	TCGA-J2-A4AG	TCGA-J2-A4AG-01A	Primary Tumor
9f9c0ca0-fea0-4e94-9002-4eab2fbdab5c	213d57e8-a4e9-4f31-b711-a80ddfe644b7.htseq.counts.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-LUAD	TCGA-05-4434	TCGA-05-4434-01A	Primary Tumor
a085eaf7-b0af-4c76-bdd3-7ab187ea0989	3107533c-054e-463c-b2bc-73ba71ed133a.htseq.counts.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-LUAD	TCGA-55-6985	TCGA-55-6985-01A	Primary Tumor
7c7d3aa4-4b9a-4ecb-b2ef-9b4d5a14f1f8	1916f968-78bb-4ac4-8ddf-0585132076a9.htseq.counts.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-LUAD	TCGA-50-5941	TCGA-50-5941-01A	Primary Tumor
c5983e0c-5cb5-4440-b18b-fb4038505447	18f2c008-bb26-45fd-9e6c-a0d08fda6d48.htseq.counts.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-LUAD	TCGA-86-8279	TCGA-86-8279-01A	Primary Tumor
6f1d55c9-b791-49a3-b664-db126f812872	8aa24565-3c27-4ed0-be70-6e571a609827.htseq.counts.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-LUAD	TCGA-J2-8194	TCGA-J2-8194-01A	Primary Tumor
5bfc07b4-30df-44eb-a05f-f85a46cfa825	83053f28-d761-4d5a-acd6-855cb22e46e2.htseq.counts.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-LUAD	TCGA-67-6215	TCGA-67-6215-01A	Primary Tumor
9fd2c7b5-c166-442f-bace-fcc97604d7bc	cb537a4c-7b5c-493f-8dea-6fd0107e6c58.htseq.counts.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-LUAD	TCGA-44-2655	TCGA-44-2655-01A	Primary Tumor
cf509fab-fcc8-493c-a1c3-bec899991904	a55e6cad-f959-47f9-a525-d429099c7e99.htseq.counts.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-LUAD	TCGA-78-8662	TCGA-78-8662-01A	Primary Tumor
f4f8a40c-ba39-4318-9c7a-b50bea64d98a	34dfd211-d264-4904-b595-a50b36f15c36.htseq.counts.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-LUAD	TCGA-91-6831	TCGA-91-6831-01A	Primary Tumor
cc603c13-476f-4234-98a1-b26c865ce959	05582ed0-da34-418a-b96e-fb4505e9ee03.htseq.counts.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-LUAD	TCGA-55-7283	TCGA-55-7283-01A	Primary Tumor
cc4dad28-ea6c-4480-a2c7-481ef5dc8f08	1d5c03c6-a0a3-4255-b54c-d9bfac305a7f.htseq.counts.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-LUAD	TCGA-44-2656	TCGA-44-2656-01B	Primary Tumor
a1b8e851-b76c-4719-b923-e17b39ee0b0f	c258e44b-44c5-43d7-835e-912049ae12c4.htseq.counts.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-LUAD	TCGA-55-7573	TCGA-55-7573-01A	Primary Tumor
ae3f50ff-c20b-4d89-acab-d994b4ec3562	6f7a250a-353a-4306-8c29-eec6582884eb.htseq.counts.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-LUAD	TCGA-91-6847	TCGA-91-6847-11A	Solid Tissue Normal
a85bb2b4-7d7d-42df-b1e1-8c6f3c643c1a	5eb38f95-cf76-4066-9a4f-df7c30728ff2.htseq.counts.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-LUAD	TCGA-86-A456	TCGA-86-A456-01A	Primary Tumor
b4a7593d-780a-4fa2-9d75-532a6b9ff129	b8181936-6f76-4eec-a57a-92c4cea4f34f.htseq.counts.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-LUAD	TCGA-50-5932	TCGA-50-5932-01A	Primary Tumor
7592794b-1892-4a96-a6c2-759ce6879281	c839556e-515d-4793-9960-0edd0a71a101.htseq.counts.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-LUAD	TCGA-55-8511	TCGA-55-8511-01A	Primary Tumor
bf3def10-f3e4-4629-8815-e4a9f1bb5e95	99580e31-0d96-415a-9519-91c493709684.htseq.counts.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-LUAD	TCGA-78-7158	TCGA-78-7158-01A	Primary Tumor
4c1db853-fc77-4f58-83b3-2c53bcd2359e	0627e7ce-b8f8-4a64-bc6e-12edd3d736f3.htseq.counts.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-LUAD	TCGA-62-8394	TCGA-62-8394-01A	Primary Tumor
858da8ac-115a-4009-a189-c7dee6e96093	ed610a8d-576a-4f6a-8259-01f9dd48b9d4.htseq.counts.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-LUAD	TCGA-78-7147	TCGA-78-7147-01A	Primary Tumor
dbffc3f2-58ed-4d24-b07e-b2796059c980	8158a767-89ce-4bf8-82fd-edfd3e54038e.htseq.counts.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-LUAD	TCGA-55-A48Y	TCGA-55-A48Y-01A	Primary Tumor
4b2b8d75-913d-4467-a5f4-9ce41d363913	4984202f-29c6-4d54-9db5-c5965cf60ba1.htseq.counts.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-LUAD	TCGA-62-A46S	TCGA-62-A46S-01A	Primary Tumor
9cf153ee-627d-4cd7-93e2-1bb64b558ccb	dc0ce32f-d5aa-489f-ba4b-e01443815121.htseq.counts.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-LUAD	TCGA-75-6212	TCGA-75-6212-01A	Primary Tumor
1a3d9274-9e3f-4b65-bbe7-663dcfe94f6a	1742f583-99dd-46ba-9df2-b47d9cb1c3f9.htseq.counts.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-LUAD	TCGA-95-7039	TCGA-95-7039-01A	Primary Tumor
6cb5b978-cb1f-4825-94e1-8c278a8d4407	20870a8f-9d0a-41a0-90b6-f0f51a03e3e5.htseq.counts.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-LUAD	TCGA-78-7163	TCGA-78-7163-01A	Primary Tumor
7ef431d8-0ce4-4b08-8eff-c3e4e1254cdd	c27a0a56-cde3-4e53-b02d-8a2ca66b5d1d.htseq.counts.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-LUAD	TCGA-97-7938	TCGA-97-7938-01A	Primary Tumor
cbd48108-afce-4f8e-ab33-db9d567834d3	b2ca49c5-527d-43e0-8280-6fe8ff7b3738.htseq.counts.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-LUAD	TCGA-91-6828	TCGA-91-6828-11A	Solid Tissue Normal
995f6789-f7e2-487a-800c-6dbb36a35495	fee154e0-ff94-402d-91e3-6c3d458bee00.htseq.counts.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-LUAD	TCGA-S2-AA1A	TCGA-S2-AA1A-01A	Primary Tumor
505fb071-db55-4ecb-b431-68e6bc0eb3e8	3b7cb73f-d672-4d68-b28a-e01b82096ba4.htseq.counts.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-LUAD	TCGA-44-6147	TCGA-44-6147-01A	Primary Tumor
a9fee4cf-128e-4a73-8d30-098bb9645f85	42c07ead-83bf-4277-9691-1a363e2b5b90.htseq.counts.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-LUAD	TCGA-78-7154	TCGA-78-7154-01A	Primary Tumor
fc1d84a0-31db-4e6f-a052-15fd7fcfe86b	e4d01f10-116a-4936-a24b-dda4e6c53397.htseq.counts.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-LUAD	TCGA-05-4410	TCGA-05-4410-01A	Primary Tumor
6bcd3e0b-fd82-455f-a0a8-f1e5b966de81	b468a0f7-2b37-4988-a179-34870f3ff1fb.htseq.counts.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-LUAD	TCGA-75-5146	TCGA-75-5146-01A	Primary Tumor
7ed86aab-7dc1-43f9-97cd-10209409955c	8eb179a6-a0af-4628-aae2-78800db3e9d8.htseq.counts.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-LUAD	TCGA-L9-A8F4	TCGA-L9-A8F4-01A	Primary Tumor
dfb84e40-76f3-43bd-bff7-fc9362d62880	39ef3ef1-d868-4c8c-81a1-238451a08f11.htseq.counts.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-LUAD	TCGA-38-4631	TCGA-38-4631-01A	Primary Tumor
75d88105-fa3f-4b7a-8c6c-005dba41b1b4	9b77c8a1-a670-4011-82d7-bc4cbab06486.htseq.counts.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-LUAD	TCGA-44-6147	TCGA-44-6147-01A	Primary Tumor
19683bd2-b6ae-4802-a847-0d70122337f8	bdc9dadb-a543-4965-b85f-8b20b14d4efe.htseq.counts.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-LUAD	TCGA-J2-A4AE	TCGA-J2-A4AE-01A	Primary Tumor
0efdd168-bc53-456b-99be-0d32d487e63d	3be615b7-aa41-47c4-852d-a5423cd03188.htseq.counts.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-LUAD	TCGA-55-1596	TCGA-55-1596-01A	Primary Tumor
b0feb1c4-a349-4128-a4aa-d98ea7ac8ffb	f0051b3a-479d-4410-ab85-270618818492.htseq.counts.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-LUAD	TCGA-64-5781	TCGA-64-5781-01A	Primary Tumor
e06229fb-1a32-4636-b191-837797540806	82cd39d8-7a0d-4ebf-adad-57b3a4e68262.htseq.counts.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-LUAD	TCGA-49-4490	TCGA-49-4490-01A	Primary Tumor
1ee599de-8bba-4130-a633-a6024dcfbff0	89658cba-f8bd-49a1-99a7-265f7d5195c8.htseq.counts.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-LUAD	TCGA-44-3917	TCGA-44-3917-01A	Primary Tumor
092c1a6f-018a-4acf-8a42-2b0b2944d9e8	1dc8075b-ed0c-471f-8947-967d23ff686b.htseq.counts.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-LUAD	TCGA-44-2662	TCGA-44-2662-01A	Primary Tumor
c908223e-d41c-4d11-841b-da4dfc35c83d	4f2b6b76-3a34-4cb6-9ec3-e343171ff2c2.htseq.counts.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-LUAD	TCGA-86-8668	TCGA-86-8668-01A	Primary Tumor
53dfb839-1ccc-4436-9c56-4eb69c919b80	fcecc36e-3b4e-4850-9003-fd573e08ec64.htseq.counts.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-LUAD	TCGA-L9-A443	TCGA-L9-A443-01A	Primary Tumor
acf73b54-53c7-43fe-8e1d-1dfd11061b07	8f2c0849-7cd4-4da2-9feb-e3a942b892c4.htseq.counts.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-LUAD	TCGA-35-5375	TCGA-35-5375-01A	Primary Tumor
88e053e7-9f23-4fd1-8a6e-c1a13baafdc2	a2e1b373-9085-4f03-8238-c428d229624f.htseq.counts.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-LUAD	TCGA-44-6144	TCGA-44-6144-11A	Solid Tissue Normal
9bb510ea-af13-42fb-93a1-dba0da1e6f3b	0fca0e34-1499-410a-a5a1-561406245e03.htseq.counts.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-LUAD	TCGA-44-3396	TCGA-44-3396-01A	Primary Tumor
762e0be3-784f-445c-b122-fd975f09e344	6262c85a-4d2c-4b03-a3c3-1bbe5dfb008a.htseq.counts.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-LUAD	TCGA-44-2662	TCGA-44-2662-01A	Primary Tumor
56ed3c50-77fb-419c-a6f7-9b6e3f9ba69c	a6801749-f1cc-4824-8be9-c86df987b768.htseq.counts.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-LUAD	TCGA-55-7815	TCGA-55-7815-01A	Primary Tumor
29fa3da5-59d1-466f-843e-24623b83ba31	9dd22540-6908-447a-bc26-2da5522f68b6.htseq.counts.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-LUAD	TCGA-NJ-A4YF	TCGA-NJ-A4YF-01A	Primary Tumor
5fc8a44b-df8d-4ac0-b6ee-3d3ffc26f395	057c6a18-e5f2-4eba-9c20-c483c5a67cc3.htseq.counts.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-LUAD	TCGA-44-2662	TCGA-44-2662-01B	Primary Tumor
7cea834c-eed6-440c-bc60-b4333d867606	5b1d889e-c40d-4f58-a4b3-9e9eb0835e86.htseq.counts.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-LUAD	TCGA-78-7535	TCGA-78-7535-01A	Primary Tumor
a4de9081-57bf-410c-8db5-bd9a2060abb0	0b07a88f-e7c7-4fcc-8b95-6a7674c436cc.htseq.counts.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-LUAD	TCGA-44-5645	TCGA-44-5645-01A	Primary Tumor
21560bb6-dd63-44f3-8c03-3818f4678470	b01ddd22-5864-4e4a-a463-62831421fe99.htseq.counts.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-LUAD	TCGA-95-7948	TCGA-95-7948-01A	Primary Tumor
b2809ac6-147f-44f2-b11e-9d55a96dd563	509159f2-6ed9-42fa-9e19-382813781aa0.htseq.counts.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-LUAD	TCGA-86-7954	TCGA-86-7954-01A	Primary Tumor
