"","Run","Path","Class"
"1","ac5bc405-b210-4bf3-a4e6-6ff071aa59c7.htseq.counts","LungCancer/CountFiles/5c3526dd-343b-452b-bd79-876af18dbbc9","Solid Tissue Normal"
"2","feb99183-103f-4ca1-b61a-b88227826952.htseq.counts","LungCancer/CountFiles/f454b333-e1bc-4934-b519-14015a9c2816","Primary Tumor"
"3","a7ac2239-f60b-40a2-b931-5aa9b3adc8d8.htseq.counts","LungCancer/CountFiles/cc893b4f-c25d-4fa5-97af-f399bed9ac65","Primary Tumor"
"4","e3b11f64-075b-49d2-8d18-85afab1cff82.htseq.counts","LungCancer/CountFiles/fb34698a-954b-4f8b-ab71-93818142eb61","Primary Tumor"
"5","989ceb12-2999-420a-a5b6-608012c1ef83.htseq.counts","LungCancer/CountFiles/414b0acf-6dde-4a4a-9e34-ecc849905a33","Primary Tumor"
"6","c6bb0ad7-6fbe-4436-adf7-f2e87b5384fe.htseq.counts","LungCancer/CountFiles/0e1ed904-8ccd-43a6-9c4f-7fdcd06d1982","Primary Tumor"
"7","d370b7a3-a534-4190-a6d0-79276273093c.htseq.counts","LungCancer/CountFiles/464ea777-62fe-4191-bfec-818e6bb0234b","Primary Tumor"
"8","be6f5b47-f164-4947-9b35-02f94248e462.htseq.counts","LungCancer/CountFiles/54a57813-e303-4f40-af5b-cc31dcdb08f4","Primary Tumor"
"9","29b681e1-b036-4b63-9113-59bb58618c8a.htseq.counts","LungCancer/CountFiles/fbf6b068-0b71-473e-99b1-a873516b910c","Primary Tumor"
"10","53e1ec28-49b8-4a9e-b4e3-f44fd44b68c9.htseq.counts","LungCancer/CountFiles/72645086-713d-4d81-a18d-31bca94aa137","Primary Tumor"
"11","58ce6671-f931-42fc-acb2-fac1ad460a22.htseq.counts","LungCancer/CountFiles/86299d6c-f27a-48db-b096-8db40e753b03","Primary Tumor"
"12","41d10ca9-cd89-4884-ad20-2d36cb1125a2.htseq.counts","LungCancer/CountFiles/d94833ee-dce5-4e3e-a61c-1496033a91fc","Primary Tumor"
"13","6ad59e49-f417-4144-9c13-51b24f66422a.htseq.counts","LungCancer/CountFiles/ecd9091a-4d46-4a74-ada2-24c4b2e64526","Primary Tumor"
"14","9fc18ac7-7fce-4840-b2c5-5daac7e422cf.htseq.counts","LungCancer/CountFiles/fbe2c696-f0fc-4ab2-a8ae-f67b42de606f","Primary Tumor"
"15","ee6fc916-052f-4fab-974f-119ab34078d6.htseq.counts","LungCancer/CountFiles/f0a6a65a-9ee6-4df5-9f02-d1120b1efd9e","Primary Tumor"
"16","e24a7d5b-0da7-4f1b-aca1-9dc89e6b281c.htseq.counts","LungCancer/CountFiles/b0ea806a-7060-47e2-98a9-44e823092493","Primary Tumor"
"17","c9381f51-ec09-4487-88a4-8e94452e4893.htseq.counts","LungCancer/CountFiles/1094c6ec-57ea-49da-a77e-f8028b03b4e7","Primary Tumor"
"18","cd1665ab-4599-49b1-9d3d-b106dfbf8bcc.htseq.counts","LungCancer/CountFiles/a3eec6fd-74e2-4683-8d54-e72e628fabf6","Solid Tissue Normal"
"19","b0937926-a768-41bd-80bc-68d4e5743f8c.htseq.counts","LungCancer/CountFiles/2aa3a12c-43ad-4780-8ad0-f1fb943a34c8","Primary Tumor"
"20","c63458fd-9b68-40d2-86a4-dc69f9946c36.htseq.counts","LungCancer/CountFiles/6053694e-8b83-4f2e-9558-9cee6a0f3645","Primary Tumor"
"21","d5fd50e4-2068-4cfc-9b04-3976f9fd7940.htseq.counts","LungCancer/CountFiles/59eddb0a-a7ff-4bfe-b62a-331438574630","Primary Tumor"
"22","5c678d4a-febe-4ae5-ac68-8372f5f928dd.htseq.counts","LungCancer/CountFiles/c11586bf-45c4-4d16-9f80-09dd4594a181","Primary Tumor"
"23","69918dce-8729-48a2-8294-a8b6b72c02e7.htseq.counts","LungCancer/CountFiles/34d0ce62-261b-4080-bf87-c4eb40f7afae","Primary Tumor"
"24","6449f2b6-1af9-4612-abde-ac0f5bb1ff7e.htseq.counts","LungCancer/CountFiles/a01a82c0-4eca-4e51-a58e-a15e15effcdb","Primary Tumor"
"25","a1231612-345f-4ff4-8ee9-c5e596357f76.htseq.counts","LungCancer/CountFiles/f6bc8cb1-ba90-457b-85a6-4172d705bd50","Primary Tumor"
"26","dbebc784-425a-4946-b5e1-cb43c349c398.htseq.counts","LungCancer/CountFiles/bfba24cd-18e3-4bff-a697-80a1540fd0d8","Primary Tumor"
"27","f98edf9e-796d-4eb5-b86a-8d41748279b8.htseq.counts","LungCancer/CountFiles/4a2ff64f-e298-4999-9337-6f8389c4b0b3","Primary Tumor"
"28","69ad4bfb-b94a-4b72-986b-d6a73febd362.htseq.counts","LungCancer/CountFiles/90c51069-913b-40b7-aa49-87d7c83f8da0","Primary Tumor"
"29","508976fe-e7a9-4743-a098-2fb0cbe32f8d.htseq.counts","LungCancer/CountFiles/0330210e-0c1d-4e5d-82c0-732770bfea7b","Primary Tumor"
"30","fe232ef7-4d50-4dfc-bea1-6b6a7a3e4135.htseq.counts","LungCancer/CountFiles/171a5026-75e9-48fe-80b2-5bd20c7c6a16","Primary Tumor"
"31","e5ea329f-8042-479c-b8ff-fb752b6b44e0.htseq.counts","LungCancer/CountFiles/c30f5358-067d-420c-a516-ae7880e8527d","Primary Tumor"
"32","cdb40040-4357-4d85-ae62-91c38d4806d1.htseq.counts","LungCancer/CountFiles/338a7322-d9b1-4c3f-8119-7c3aef5d9f40","Primary Tumor"
"33","b9e1ccfb-5124-4f8a-8f6e-8ecfeaa54e9e.htseq.counts","LungCancer/CountFiles/039ccbdc-6daa-4fa3-bf07-2b0f887fee2e","Primary Tumor"
"34","fde67178-6278-4872-a2c4-cfa32f71fdbe.htseq.counts","LungCancer/CountFiles/c56b4ece-fc5c-4c53-a4f1-477537b33c8a","Solid Tissue Normal"
"35","8458d0dd-5bc6-42e7-a60d-2953cec4ac9d.htseq.counts","LungCancer/CountFiles/eedd51b0-54fe-4059-8586-b26777043d42","Primary Tumor"
"36","491c7f67-a4c0-4d26-949e-773cb0f123ae.htseq.counts","LungCancer/CountFiles/433cc4db-ff0f-4d4a-ab20-29675ade1dd9","Primary Tumor"
"37","a9452e8a-decb-49e4-b4f6-3db74539643b.htseq.counts","LungCancer/CountFiles/cebde574-89a9-4d85-a778-b54a32af3d21","Primary Tumor"
"38","3b1e8e56-f2a3-4a3f-8f99-ba8a8f33152c.htseq.counts","LungCancer/CountFiles/8fd10531-b532-4b00-83e7-03fb5ac3ed5c","Primary Tumor"
"39","0d7f880c-c4c5-4335-b49e-5f321f841840.htseq.counts","LungCancer/CountFiles/cd6080f8-8633-4e33-b29b-0c95491d2d48","Primary Tumor"
"40","eef74b1b-b56d-4c1e-8524-952542b64eb0.htseq.counts","LungCancer/CountFiles/ffdf38f8-864c-4354-bcb3-83617bbbcff5","Primary Tumor"
"41","12e07df9-d348-41de-9b87-9da18df6934b.htseq.counts","LungCancer/CountFiles/632fff55-afd0-4885-a594-e8a4a2828b5e","Primary Tumor"
"42","3a360c80-e06f-4e38-a29d-3e4514047b76.htseq.counts","LungCancer/CountFiles/19c12738-c5ee-4340-ab01-5adefc8beb3c","Primary Tumor"
"43","29326e2f-eab7-445d-93e7-9290731745e7.htseq.counts","LungCancer/CountFiles/0fb60734-2ff0-4974-9c8b-7313c06ceef9","Primary Tumor"
"44","05d2b1e9-22a4-4369-b622-63846d672875.htseq.counts","LungCancer/CountFiles/553f585c-8dbd-42ed-8d3e-1eb42c15ae0c","Primary Tumor"
"45","701cb0e2-a169-47ce-b34a-4bb86501c82d.htseq.counts","LungCancer/CountFiles/5b3cd6a9-caef-4030-9370-b8c5662d5817","Primary Tumor"
"46","213d57e8-a4e9-4f31-b711-a80ddfe644b7.htseq.counts","LungCancer/CountFiles/9f9c0ca0-fea0-4e94-9002-4eab2fbdab5c","Primary Tumor"
"47","3107533c-054e-463c-b2bc-73ba71ed133a.htseq.counts","LungCancer/CountFiles/a085eaf7-b0af-4c76-bdd3-7ab187ea0989","Primary Tumor"
"48","1916f968-78bb-4ac4-8ddf-0585132076a9.htseq.counts","LungCancer/CountFiles/7c7d3aa4-4b9a-4ecb-b2ef-9b4d5a14f1f8","Primary Tumor"
"49","18f2c008-bb26-45fd-9e6c-a0d08fda6d48.htseq.counts","LungCancer/CountFiles/c5983e0c-5cb5-4440-b18b-fb4038505447","Primary Tumor"
"50","8aa24565-3c27-4ed0-be70-6e571a609827.htseq.counts","LungCancer/CountFiles/6f1d55c9-b791-49a3-b664-db126f812872","Primary Tumor"
"51","83053f28-d761-4d5a-acd6-855cb22e46e2.htseq.counts","LungCancer/CountFiles/5bfc07b4-30df-44eb-a05f-f85a46cfa825","Primary Tumor"
"52","cb537a4c-7b5c-493f-8dea-6fd0107e6c58.htseq.counts","LungCancer/CountFiles/9fd2c7b5-c166-442f-bace-fcc97604d7bc","Primary Tumor"
"53","a55e6cad-f959-47f9-a525-d429099c7e99.htseq.counts","LungCancer/CountFiles/cf509fab-fcc8-493c-a1c3-bec899991904","Primary Tumor"
"54","34dfd211-d264-4904-b595-a50b36f15c36.htseq.counts","LungCancer/CountFiles/f4f8a40c-ba39-4318-9c7a-b50bea64d98a","Primary Tumor"
"55","05582ed0-da34-418a-b96e-fb4505e9ee03.htseq.counts","LungCancer/CountFiles/cc603c13-476f-4234-98a1-b26c865ce959","Primary Tumor"
"56","1d5c03c6-a0a3-4255-b54c-d9bfac305a7f.htseq.counts","LungCancer/CountFiles/cc4dad28-ea6c-4480-a2c7-481ef5dc8f08","Primary Tumor"
"57","c258e44b-44c5-43d7-835e-912049ae12c4.htseq.counts","LungCancer/CountFiles/a1b8e851-b76c-4719-b923-e17b39ee0b0f","Primary Tumor"
"58","6f7a250a-353a-4306-8c29-eec6582884eb.htseq.counts","LungCancer/CountFiles/ae3f50ff-c20b-4d89-acab-d994b4ec3562","Solid Tissue Normal"
"59","5eb38f95-cf76-4066-9a4f-df7c30728ff2.htseq.counts","LungCancer/CountFiles/a85bb2b4-7d7d-42df-b1e1-8c6f3c643c1a","Primary Tumor"
"60","b8181936-6f76-4eec-a57a-92c4cea4f34f.htseq.counts","LungCancer/CountFiles/b4a7593d-780a-4fa2-9d75-532a6b9ff129","Primary Tumor"
"61","c839556e-515d-4793-9960-0edd0a71a101.htseq.counts","LungCancer/CountFiles/7592794b-1892-4a96-a6c2-759ce6879281","Primary Tumor"
"62","99580e31-0d96-415a-9519-91c493709684.htseq.counts","LungCancer/CountFiles/bf3def10-f3e4-4629-8815-e4a9f1bb5e95","Primary Tumor"
"63","0627e7ce-b8f8-4a64-bc6e-12edd3d736f3.htseq.counts","LungCancer/CountFiles/4c1db853-fc77-4f58-83b3-2c53bcd2359e","Primary Tumor"
"64","ed610a8d-576a-4f6a-8259-01f9dd48b9d4.htseq.counts","LungCancer/CountFiles/858da8ac-115a-4009-a189-c7dee6e96093","Primary Tumor"
"65","8158a767-89ce-4bf8-82fd-edfd3e54038e.htseq.counts","LungCancer/CountFiles/dbffc3f2-58ed-4d24-b07e-b2796059c980","Primary Tumor"
"66","4984202f-29c6-4d54-9db5-c5965cf60ba1.htseq.counts","LungCancer/CountFiles/4b2b8d75-913d-4467-a5f4-9ce41d363913","Primary Tumor"
"67","dc0ce32f-d5aa-489f-ba4b-e01443815121.htseq.counts","LungCancer/CountFiles/9cf153ee-627d-4cd7-93e2-1bb64b558ccb","Primary Tumor"
"68","1742f583-99dd-46ba-9df2-b47d9cb1c3f9.htseq.counts","LungCancer/CountFiles/1a3d9274-9e3f-4b65-bbe7-663dcfe94f6a","Primary Tumor"
"69","20870a8f-9d0a-41a0-90b6-f0f51a03e3e5.htseq.counts","LungCancer/CountFiles/6cb5b978-cb1f-4825-94e1-8c278a8d4407","Primary Tumor"
"70","c27a0a56-cde3-4e53-b02d-8a2ca66b5d1d.htseq.counts","LungCancer/CountFiles/7ef431d8-0ce4-4b08-8eff-c3e4e1254cdd","Primary Tumor"
"71","b2ca49c5-527d-43e0-8280-6fe8ff7b3738.htseq.counts","LungCancer/CountFiles/cbd48108-afce-4f8e-ab33-db9d567834d3","Solid Tissue Normal"
"72","fee154e0-ff94-402d-91e3-6c3d458bee00.htseq.counts","LungCancer/CountFiles/995f6789-f7e2-487a-800c-6dbb36a35495","Primary Tumor"
"73","3b7cb73f-d672-4d68-b28a-e01b82096ba4.htseq.counts","LungCancer/CountFiles/505fb071-db55-4ecb-b431-68e6bc0eb3e8","Primary Tumor"
"74","42c07ead-83bf-4277-9691-1a363e2b5b90.htseq.counts","LungCancer/CountFiles/a9fee4cf-128e-4a73-8d30-098bb9645f85","Primary Tumor"
"75","e4d01f10-116a-4936-a24b-dda4e6c53397.htseq.counts","LungCancer/CountFiles/fc1d84a0-31db-4e6f-a052-15fd7fcfe86b","Primary Tumor"
"76","b468a0f7-2b37-4988-a179-34870f3ff1fb.htseq.counts","LungCancer/CountFiles/6bcd3e0b-fd82-455f-a0a8-f1e5b966de81","Primary Tumor"
"77","8eb179a6-a0af-4628-aae2-78800db3e9d8.htseq.counts","LungCancer/CountFiles/7ed86aab-7dc1-43f9-97cd-10209409955c","Primary Tumor"
"78","39ef3ef1-d868-4c8c-81a1-238451a08f11.htseq.counts","LungCancer/CountFiles/dfb84e40-76f3-43bd-bff7-fc9362d62880","Primary Tumor"
"79","9b77c8a1-a670-4011-82d7-bc4cbab06486.htseq.counts","LungCancer/CountFiles/75d88105-fa3f-4b7a-8c6c-005dba41b1b4","Primary Tumor"
"80","bdc9dadb-a543-4965-b85f-8b20b14d4efe.htseq.counts","LungCancer/CountFiles/19683bd2-b6ae-4802-a847-0d70122337f8","Primary Tumor"
"81","3be615b7-aa41-47c4-852d-a5423cd03188.htseq.counts","LungCancer/CountFiles/0efdd168-bc53-456b-99be-0d32d487e63d","Primary Tumor"
