File ID	File Name	Data Category	Data Type	Project ID	Case ID	Sample ID	Sample Type
3970cd03-897f-4fbd-b521-a187cc011b28	41eafe71-a7a8-43be-a8d5-378bb646a4df.htseq.counts.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-PRAD	TCGA-M7-A725	TCGA-M7-A725-01A	Primary Tumor
1896d3fa-5974-423f-984d-13fcc747e1bd	0982be21-b4a3-4e43-92ba-1f2bde1c17d7.htseq.counts.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-PRAD	TCGA-4L-AA1F	TCGA-4L-AA1F-01A	Primary Tumor
88351c79-bd31-4ce4-9094-dc60d409065e	30c62c2a-1d23-49ad-be06-d8d5e2117fdc.htseq.counts.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-PRAD	TCGA-G9-6361	TCGA-G9-6361-01A	Primary Tumor
9a5d98b1-12a7-431c-b858-a7a31f7ea263	a513e301-c015-4102-9418-620e5e576ebc.htseq.counts.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-PRAD	TCGA-H9-7775	TCGA-H9-7775-01A	Primary Tumor
06a88218-698d-43c9-b55c-830ce007fd4f	443da90b-2658-4864-aede-3dcea543cf74.htseq.counts.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-PRAD	TCGA-G9-6496	TCGA-G9-6496-01A	Primary Tumor
266c1e62-f2d0-4fe1-9e55-2d8be81edfd8	650d25de-363d-4c91-9922-2fe308c04b72.htseq.counts.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-PRAD	TCGA-V1-A8ML	TCGA-V1-A8ML-01A	Primary Tumor
03064199-7526-4b8d-a8f0-88314460c555	3c3c7702-7b2f-40b9-abad-5c7b276f811f.htseq.counts.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-PRAD	TCGA-YL-A8SI	TCGA-YL-A8SI-01A	Primary Tumor
2d3de31d-ca9b-4533-b188-ee3712c176dc	abbc73c6-861b-48f7-8d6f-6ee9bf18a71f.htseq.counts.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-PRAD	TCGA-V1-A8WW	TCGA-V1-A8WW-01A	Primary Tumor
e0e65f37-210f-46e5-bb18-4338c84c02da	385728ce-d2bc-4fe5-bcab-59f775c1e0fa.htseq.counts.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-PRAD	TCGA-HC-A76W	TCGA-HC-A76W-01A	Primary Tumor
328e02ff-a035-4d73-8528-2eb666d5e6a8	9da26efc-89af-48b2-8a9c-618b87767346.htseq.counts.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-PRAD	TCGA-HC-7212	TCGA-HC-7212-01A	Primary Tumor
