"","Run","Path","Class"
"1","41eafe71-a7a8-43be-a8d5-378bb646a4df.htseq.counts","ProstateCancer/CountFiles/3970cd03-897f-4fbd-b521-a187cc011b28","Primary Tumor"
"2","0982be21-b4a3-4e43-92ba-1f2bde1c17d7.htseq.counts","ProstateCancer/CountFiles/1896d3fa-5974-423f-984d-13fcc747e1bd","Primary Tumor"
"3","30c62c2a-1d23-49ad-be06-d8d5e2117fdc.htseq.counts","ProstateCancer/CountFiles/88351c79-bd31-4ce4-9094-dc60d409065e","Primary Tumor"
"4","a513e301-c015-4102-9418-620e5e576ebc.htseq.counts","ProstateCancer/CountFiles/9a5d98b1-12a7-431c-b858-a7a31f7ea263","Primary Tumor"
"5","443da90b-2658-4864-aede-3dcea543cf74.htseq.counts","ProstateCancer/CountFiles/06a88218-698d-43c9-b55c-830ce007fd4f","Primary Tumor"
"6","650d25de-363d-4c91-9922-2fe308c04b72.htseq.counts","ProstateCancer/CountFiles/266c1e62-f2d0-4fe1-9e55-2d8be81edfd8","Primary Tumor"
"7","3c3c7702-7b2f-40b9-abad-5c7b276f811f.htseq.counts","ProstateCancer/CountFiles/03064199-7526-4b8d-a8f0-88314460c555","Primary Tumor"
"8","abbc73c6-861b-48f7-8d6f-6ee9bf18a71f.htseq.counts","ProstateCancer/CountFiles/2d3de31d-ca9b-4533-b188-ee3712c176dc","Primary Tumor"
"9","385728ce-d2bc-4fe5-bcab-59f775c1e0fa.htseq.counts","ProstateCancer/CountFiles/e0e65f37-210f-46e5-bb18-4338c84c02da","Primary Tumor"
"10","9da26efc-89af-48b2-8a9c-618b87767346.htseq.counts","ProstateCancer/CountFiles/328e02ff-a035-4d73-8528-2eb666d5e6a8","Primary Tumor"
"11","6daee8cc-ba8b-46fd-bc29-550843ee8e33.htseq.counts","ProstateCancer/CountFiles/5d340537-9857-4545-adff-a7b8eb146c7b","Primary Tumor"
"12","fcf3715b-ecfc-4554-bb0b-96d3171d85be.htseq.counts","ProstateCancer/CountFiles/8a3d56d9-9440-45ec-8804-7f19fdd2f822","Primary Tumor"
"13","f5543b70-ba01-4821-a161-b402c07392ce.htseq.counts","ProstateCancer/CountFiles/6fc26257-3395-4eba-a862-77318d964c53","Primary Tumor"
"14","347eebe8-1e5e-484a-bab4-f84147eb9664.htseq.counts","ProstateCancer/CountFiles/bc8b4a92-2d97-4912-bd65-fd4cc685a724","Primary Tumor"
"15","f8032464-fd4f-4927-8f28-d0fc90e35669.htseq.counts","ProstateCancer/CountFiles/09be745b-ea94-4f93-a3fb-26a2b6b8f6d6","Primary Tumor"
"16","75140780-afad-4633-b7b8-f289abdedcf9.htseq.counts","ProstateCancer/CountFiles/592f7ee9-5c2a-4713-81db-b39763db3df8","Primary Tumor"
"17","8cbca0d4-0cbd-47b8-8643-331c67840817.htseq.counts","ProstateCancer/CountFiles/05cbea1f-fb0b-4422-95a1-89b7bfea5f32","Solid Tissue Normal"
"18","1b99466b-3732-43be-a4cd-cfb304736061.htseq.counts","ProstateCancer/CountFiles/f2ee34da-b5cf-403a-b476-dfd362fb0573","Primary Tumor"
"19","9e6193dd-1a08-4769-af3b-8570535f40c8.htseq.counts","ProstateCancer/CountFiles/7e98f9c1-057f-4abc-9148-b9fc49ee8a28","Primary Tumor"
"20","dffeb8a2-5a8e-4a36-933c-6140221991c8.htseq.counts","ProstateCancer/CountFiles/a51b9bdc-cfa1-4f04-9d52-dbfb74ab9b73","Primary Tumor"
"21","ca023ee2-7396-4c9b-a4cb-56853200a605.htseq.counts","ProstateCancer/CountFiles/38cf1f63-bb5d-4a39-aef3-d0144d12c715","Primary Tumor"
"22","1d0e6401-4b08-4087-946d-0b99f250c704.htseq.counts","ProstateCancer/CountFiles/0490f2a2-5a9f-479c-a8c0-b8d6be7babe1","Primary Tumor"
"23","f676c6d1-b263-467c-ae4f-547628572df8.htseq.counts","ProstateCancer/CountFiles/3e6f8b24-a47e-48e2-be5c-77e27272a92f","Primary Tumor"
"24","7ff8c77c-67df-47dd-b6af-758a7f3fd381.htseq.counts","ProstateCancer/CountFiles/ac09555d-d1e0-43d0-bad5-e430b1d62862","Primary Tumor"
"25","94043a2d-b9e2-426d-9e89-6213034332f6.htseq.counts","ProstateCancer/CountFiles/a4b3ce90-1d62-40c8-8548-990a01ca03c1","Primary Tumor"
"26","af6221a1-30ba-4501-914f-393a07cc6594.htseq.counts","ProstateCancer/CountFiles/c9f88dd9-82a9-429d-9ad3-e49e6b443b7a","Primary Tumor"
"27","d7f33a5b-096f-4786-af14-87fc93bb7087.htseq.counts","ProstateCancer/CountFiles/80942c40-28d6-4bcf-a096-cffa37ca025c","Primary Tumor"
"28","c82dd937-41c7-450e-9fc4-4ff9a4c871dc.htseq.counts","ProstateCancer/CountFiles/74a9d8ac-6b26-4b40-b724-d67cddd54429","Primary Tumor"
"29","8e08141b-7a0a-4a93-b9f1-0479b423c4b0.htseq.counts","ProstateCancer/CountFiles/af29fd54-2756-4844-8a06-28bb4790fc79","Primary Tumor"
"30","e71db7ed-f30b-46e3-b5d8-d9dcea1c269b.htseq.counts","ProstateCancer/CountFiles/c598ee60-51a0-4286-9a70-d53667f2523a","Primary Tumor"
"31","83db3c08-666e-489c-8440-9ed80770ac7b.htseq.counts","ProstateCancer/CountFiles/e85c8dc4-bb3b-4c41-a23e-45df85660c8f","Primary Tumor"
"32","2496e6ca-cfe1-4160-9a5d-d8d0c1853062.htseq.counts","ProstateCancer/CountFiles/313facf7-de35-45ce-a9fe-aa112e4ca7e9","Solid Tissue Normal"
"33","a772773c-9c24-4eb0-bd27-70c8a72b2f51.htseq.counts","ProstateCancer/CountFiles/c3b13b7c-7bb1-4d98-bc2c-156598b905ab","Primary Tumor"
"34","f0b61979-b534-4fbb-863b-4a368818df92.htseq.counts","ProstateCancer/CountFiles/d9c2ea54-d691-433e-a9f4-225b286686a1","Solid Tissue Normal"
"35","23c08503-80f7-4a8e-94fb-4a51dcebd78b.htseq.counts","ProstateCancer/CountFiles/52a55f9a-f65e-4904-ad6e-9d00517ad984","Solid Tissue Normal"
"36","157c638d-9173-460d-b001-d29f7beeb5b7.htseq.counts","ProstateCancer/CountFiles/d50c88f1-e61c-4729-8eba-8bd4eced019f","Primary Tumor"
"37","be0707df-1761-4c49-abec-cce9b01ff2db.htseq.counts","ProstateCancer/CountFiles/d6ec9088-9557-4b80-a520-f6974e3c16f4","Primary Tumor"
"38","ba57cbaf-b52c-402b-b72a-f0df0e086369.htseq.counts","ProstateCancer/CountFiles/319d6d31-9bd7-4878-83d2-1fb2d448c320","Primary Tumor"
"39","10fb2286-8406-416f-80de-02b8b09b5bb5.htseq.counts","ProstateCancer/CountFiles/840b3da7-cc7c-450d-b2e4-8ce0b7d415b9","Primary Tumor"
"40","f42ef7e5-39e3-4a91-b8bb-11a38d24c72b.htseq.counts","ProstateCancer/CountFiles/ac9b5b1c-5652-47db-aa97-16236e34fab4","Solid Tissue Normal"
"41","925fafd4-8868-48dd-81e6-f6b6ca6de0fb.htseq.counts","ProstateCancer/CountFiles/2c726a34-c2ad-4784-8255-d43bd6a2877c","Primary Tumor"
"42","8ce5e60d-88d2-45c5-bba2-b2ea4a290c46.htseq.counts","ProstateCancer/CountFiles/5da1d9d4-77a3-4344-9b2f-938094a08d5c","Primary Tumor"
"43","b7174918-6cea-417e-8a86-f3a61ad81153.htseq.counts","ProstateCancer/CountFiles/f99994d1-5f40-4384-9522-2959b6e6767b","Primary Tumor"
"44","b37bb5d7-a62a-4fac-a9e2-3e5af5b820dd.htseq.counts","ProstateCancer/CountFiles/63a14e7c-26f1-4970-b1c5-0aa7894b885b","Primary Tumor"
"45","1530a60d-78d0-4ce6-8959-40080184f716.htseq.counts","ProstateCancer/CountFiles/3dab985c-8f86-4ef7-9187-64e2b7eaf009","Primary Tumor"
"46","326bcde3-94ad-4b17-ab61-733e7cf6ff2f.htseq.counts","ProstateCancer/CountFiles/1b13c030-73b6-4994-9931-14ae5785bf51","Primary Tumor"
"47","c8e9a6f4-de22-4714-a656-9817b0609b66.htseq.counts","ProstateCancer/CountFiles/99da9cdc-3352-449d-9583-cfbb05ed8f9a","Primary Tumor"
"48","8c36062e-bf1d-4d6c-be76-37d9fd4805bc.htseq.counts","ProstateCancer/CountFiles/f6a25cbf-8700-4232-9eac-dd38270dc8d4","Solid Tissue Normal"
"49","5f8449ce-a11c-4641-a5a4-ea1524a6f94a.htseq.counts","ProstateCancer/CountFiles/6b5cce3f-20a3-4151-a031-56e71d3d2b1d","Primary Tumor"
"50","606767dd-9844-4bcd-851b-fe7a81442d56.htseq.counts","ProstateCancer/CountFiles/10ce4cab-e6c4-439c-9bf2-8e9949918c43","Primary Tumor"
"51","a1c0c356-6ab4-42ff-ad0a-00d0b1ebda4a.htseq.counts","ProstateCancer/CountFiles/3c4fba98-eb73-49a0-a0c6-260c3b45a812","Primary Tumor"
"52","00eb7c26-84fd-4ab9-93a1-3d209dfc0f43.htseq.counts","ProstateCancer/CountFiles/3d0d84b1-49c6-4deb-b6ca-065ad4dc5197","Primary Tumor"
"53","6be97400-e6e4-49bd-bde8-8ed1597a8d7c.htseq.counts","ProstateCancer/CountFiles/41a5de17-a12d-44da-ad2b-4d3a0291b293","Primary Tumor"
"54","5f1a1318-e500-48a5-9096-b6ca85601e59.htseq.counts","ProstateCancer/CountFiles/3a5a2056-bcf5-45ff-af89-2fe936f1c623","Primary Tumor"
"55","ca21bb6d-6e7c-4e0f-93e3-92e1d0b5477e.htseq.counts","ProstateCancer/CountFiles/4b50726e-6e4d-4541-a30a-698d09593538","Primary Tumor"
"56","08ac28e4-a7e8-4693-b877-52794fa8ae44.htseq.counts","ProstateCancer/CountFiles/2eae8385-6ab6-4611-a4e4-27f0c6908e00","Primary Tumor"
"57","520db51b-c55d-4f1b-85ae-45509d3c7480.htseq.counts","ProstateCancer/CountFiles/eea4734c-7934-4022-a03c-f42ed5b9a47b","Primary Tumor"
"58","176faa66-9eb4-4d1e-b7fe-08d34db0e44f.htseq.counts","ProstateCancer/CountFiles/18ab40fd-bb06-4827-9a73-c56687811b3a","Primary Tumor"
"59","cf642734-8219-4009-bd94-c91fe2e710c0.htseq.counts","ProstateCancer/CountFiles/b59277e2-642b-4f80-9918-bc9e90bd6b98","Primary Tumor"
"60","99d380d6-378f-4c60-96dc-00d9354c61ed.htseq.counts","ProstateCancer/CountFiles/7dc833ec-b818-4c54-865d-618e62606f83","Primary Tumor"
"61","e1e1315d-d5e9-44da-8837-6d831d0b1fce.htseq.counts","ProstateCancer/CountFiles/3aeb0db7-247e-43ec-b0c0-27614c3df7a9","Primary Tumor"
"62","35ec1b7a-23eb-489b-94c9-f8967c54930a.htseq.counts","ProstateCancer/CountFiles/7901ffaa-c9ed-4818-b831-b7e1a252cd17","Primary Tumor"
"63","a9d1ff39-da59-4c95-a402-1793e6c9f5e4.htseq.counts","ProstateCancer/CountFiles/e3e59eb0-7e94-48f2-aaa6-113625b54707","Primary Tumor"
"64","f3cf307e-8d8d-4477-9531-ccd7a877e829.htseq.counts","ProstateCancer/CountFiles/22f66f1c-b986-4ca5-93eb-0ac92dc1b39a","Solid Tissue Normal"
"65","e56bd184-616f-4c4f-b935-8a4978d2aae9.htseq.counts","ProstateCancer/CountFiles/8da2850e-33e3-40bb-96b7-e62f3fbd8f97","Primary Tumor"
