File ID	File Name	Data Category	Data Type	Project ID	Case ID	Sample ID	Sample Type
d7e63c99-60b2-4cee-9473-69bd0b0c8afd	efce5bc7-aed2-4f3a-9574-fe59b655f57e.htseq.counts.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-STAD	TCGA-D7-6522	TCGA-D7-6522-01A	Primary Tumor
2fa2d47a-ba4c-4b60-850d-600b59005348	175f3b18-77d1-4532-90c8-b6d7ad198363.htseq.counts.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-STAD	TCGA-VQ-A94R	TCGA-VQ-A94R-01A	Primary Tumor
f1aaff44-9d82-4e91-93b0-b1907cb7e6c8	ae43e7b6-18c7-4657-909a-462e102153fb.htseq.counts.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-STAD	TCGA-RD-A8MV	TCGA-RD-A8MV-01A	Primary Tumor
566f1e1b-cddc-4588-899c-2fb2b4ea9924	b7ce107c-d523-4e92-ab0d-e27aa1f799e2.htseq.counts.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-STAD	TCGA-BR-4191	TCGA-BR-4191-01A	Primary Tumor
fd3e9535-1052-4ef0-8a0f-b535099a5de0	aeffc030-7e5a-478d-bb80-18c25ca041ae.htseq.counts.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-STAD	TCGA-BR-8291	TCGA-BR-8291-01A	Primary Tumor
cb34590d-ac15-4d3d-89bf-4e1c62580488	2e7840e6-2d64-41f7-afb3-bc0be331a80f.htseq.counts.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-STAD	TCGA-HU-8238	TCGA-HU-8238-01A	Primary Tumor
1737902d-702e-4ec5-b104-51146efd13e3	53db1847-ad1e-43d3-99a2-f6244679cc50.htseq.counts.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-STAD	TCGA-BR-6803	TCGA-BR-6803-01A	Primary Tumor
869c0ab6-efb2-4083-879d-930021f2a052	6e37f15c-f206-4f46-8fde-458c9d27bf1e.htseq.counts.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-STAD	TCGA-HU-A4H0	TCGA-HU-A4H0-01A	Primary Tumor
b3f8db83-5462-461f-b09d-b6375bef71a7	5d1a16dd-6c0c-4130-acd3-0573da2dc70c.htseq.counts.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-STAD	TCGA-VQ-A91S	TCGA-VQ-A91S-01A	Primary Tumor
400b638d-22ff-4dc9-b04f-37cb165d3998	b3edef4e-d42d-4933-8c5f-51269423687f.htseq.counts.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-STAD	TCGA-HU-A4GH	TCGA-HU-A4GH-01A	Primary Tumor
