"","Run","Path","Class"
"1","efce5bc7-aed2-4f3a-9574-fe59b655f57e.htseq.counts","StomachCancer/CountFiles/d7e63c99-60b2-4cee-9473-69bd0b0c8afd","Primary Tumor"
"2","175f3b18-77d1-4532-90c8-b6d7ad198363.htseq.counts","StomachCancer/CountFiles/2fa2d47a-ba4c-4b60-850d-600b59005348","Primary Tumor"
"3","ae43e7b6-18c7-4657-909a-462e102153fb.htseq.counts","StomachCancer/CountFiles/f1aaff44-9d82-4e91-93b0-b1907cb7e6c8","Primary Tumor"
"4","b7ce107c-d523-4e92-ab0d-e27aa1f799e2.htseq.counts","StomachCancer/CountFiles/566f1e1b-cddc-4588-899c-2fb2b4ea9924","Primary Tumor"
"5","aeffc030-7e5a-478d-bb80-18c25ca041ae.htseq.counts","StomachCancer/CountFiles/fd3e9535-1052-4ef0-8a0f-b535099a5de0","Primary Tumor"
"6","2e7840e6-2d64-41f7-afb3-bc0be331a80f.htseq.counts","StomachCancer/CountFiles/cb34590d-ac15-4d3d-89bf-4e1c62580488","Primary Tumor"
"7","53db1847-ad1e-43d3-99a2-f6244679cc50.htseq.counts","StomachCancer/CountFiles/1737902d-702e-4ec5-b104-51146efd13e3","Primary Tumor"
"8","6e37f15c-f206-4f46-8fde-458c9d27bf1e.htseq.counts","StomachCancer/CountFiles/869c0ab6-efb2-4083-879d-930021f2a052","Primary Tumor"
"9","5d1a16dd-6c0c-4130-acd3-0573da2dc70c.htseq.counts","StomachCancer/CountFiles/b3f8db83-5462-461f-b09d-b6375bef71a7","Primary Tumor"
"10","b3edef4e-d42d-4933-8c5f-51269423687f.htseq.counts","StomachCancer/CountFiles/400b638d-22ff-4dc9-b04f-37cb165d3998","Primary Tumor"
"11","efb7b03d-e283-47be-9233-edf945abb012.htseq.counts","StomachCancer/CountFiles/331253ec-1522-4e42-bed4-529320364200","Primary Tumor"
"12","e5200a32-96d2-4dea-b78f-e0638e7b57de.htseq.counts","StomachCancer/CountFiles/78bac8b0-9cd0-42f4-88fe-b7e89622017f","Primary Tumor"
"13","c8f587c1-595c-4617-9f03-8a7eedc43910.htseq.counts","StomachCancer/CountFiles/9aac7704-83e5-445d-9cd5-3e77340c1a8d","Primary Tumor"
"14","c92efe73-3258-44e8-aaa1-628ed1ca937d.htseq.counts","StomachCancer/CountFiles/c9188e6d-d899-490a-ad54-10ff4729460b","Primary Tumor"
"15","01ed42c5-175d-4de0-a379-417f950113f6.htseq.counts","StomachCancer/CountFiles/581b7847-7e3f-4c99-b7a0-826cf3866058","Primary Tumor"
"16","aef12c8f-bbc6-40e0-b1c8-f48f483b5770.htseq.counts","StomachCancer/CountFiles/e2a44cfc-329d-4aa9-b398-d79721e4d5ce","Primary Tumor"
"17","040c3d49-addc-44eb-8b97-acdd4cc0a4a7.htseq.counts","StomachCancer/CountFiles/4f9a2ad3-e7b0-4feb-80d1-f0968395edb3","Primary Tumor"
"18","afb77eb0-040c-4d6a-a920-8a9f207a8695.htseq.counts","StomachCancer/CountFiles/b4554b9c-10c2-4218-8f66-5aa8c11c8b94","Primary Tumor"
"19","a6e103f3-c0e2-4673-95ed-35bf7114ba9d.htseq.counts","StomachCancer/CountFiles/db792b65-155d-412d-a055-89903fc6ccef","Primary Tumor"
"20","db006b3d-fe93-4453-a51e-d78d5c670f9f.htseq.counts","StomachCancer/CountFiles/7b089cd4-27e8-4e90-9c02-581b3d24f35f","Primary Tumor"
"21","c4f04946-d3e7-4f18-87b3-ea8ab5dbc82c.htseq.counts","StomachCancer/CountFiles/6cb9b666-ac26-48dc-8fb0-cd9e3d0e17cd","Solid Tissue Normal"
"22","d62751ca-d171-4e69-8696-af61ed209647.htseq.counts","StomachCancer/CountFiles/d42d501f-be17-4aaf-834a-033eb4af5843","Primary Tumor"
"23","717d9887-98cf-4460-911f-13a93f31246a.htseq.counts","StomachCancer/CountFiles/f0c61c11-511d-49dc-b67f-101fb0400805","Primary Tumor"
"24","5ab45877-d918-435d-af1a-40aeeb60f957.htseq.counts","StomachCancer/CountFiles/8499074c-4792-4319-9646-b06718c4ab32","Primary Tumor"
"25","69b4feb7-1adc-489f-87a9-1295207cc7a8.htseq.counts","StomachCancer/CountFiles/9bc0a5e0-53a7-4d59-94b8-00b4db2fb682","Primary Tumor"
"26","b70f4e88-ec19-4a3b-bc7f-4a0a424f8f21.htseq.counts","StomachCancer/CountFiles/a5cfe23e-3ceb-433d-be83-5f33a628833e","Primary Tumor"
"27","b5ff963b-4926-4af3-bab3-26697fba9155.htseq.counts","StomachCancer/CountFiles/d206cea0-1f75-4c5f-855b-8f556a12d752","Primary Tumor"
"28","7c169d29-58cd-4f77-9e3e-eae41234e936.htseq.counts","StomachCancer/CountFiles/ff86f02c-1066-4cdc-9cd7-6c19ab5d71c5","Primary Tumor"
"29","d44b4a3f-80d6-4648-a515-dc58438bbe13.htseq.counts","StomachCancer/CountFiles/8c57de95-6340-474b-9e30-2f19f654274f","Primary Tumor"
"30","d8b37f77-500a-4c1e-b344-41f4e0c6fea6.htseq.counts","StomachCancer/CountFiles/1b1990d1-8e1f-495b-8533-f62d0e1bb682","Primary Tumor"
"31","4060cf60-a8c9-4cb1-b096-97c9c556b26e.htseq.counts","StomachCancer/CountFiles/d4875c9e-67fd-424f-82f3-0d5ad5dd3c28","Primary Tumor"
"32","01411772-3c6a-494e-9a61-7e96812b785a.htseq.counts","StomachCancer/CountFiles/2bb4fd99-8cff-4b8b-80db-4f9033fad0f8","Primary Tumor"
"33","a8a9595b-e0b5-479e-8b7e-33595de6f4c6.htseq.counts","StomachCancer/CountFiles/a2b25160-c0ca-4fc2-a6d3-413ad11abbf4","Primary Tumor"
"34","0ea2d656-d880-425b-abe7-d1cab827aaf5.htseq.counts","StomachCancer/CountFiles/80765a8d-cd2b-4bf5-a7eb-6e6feb628f31","Primary Tumor"
"35","69057d67-b8fb-4e41-8961-ed1864ba3a4b.htseq.counts","StomachCancer/CountFiles/1bcbcc70-08da-4cd0-8469-bd0a4d154fd2","Primary Tumor"
"36","ce216458-2523-4252-a95f-0251ce14723e.htseq.counts","StomachCancer/CountFiles/d10315e0-8ae8-4585-b6c1-f10aca4f50d6","Primary Tumor"
"37","d6df55ba-8285-497f-a8cb-96d85bb44fcc.htseq.counts","StomachCancer/CountFiles/3bdbaf78-43ac-4458-921b-49e794d1d56a","Primary Tumor"
"38","bf1213f6-7956-47a8-a7d1-881d9d83971d.htseq.counts","StomachCancer/CountFiles/98546094-d224-4f66-b33b-87587d83bfb3","Solid Tissue Normal"
