File ID	File Name	Data Category	Data Type	Project ID	Case ID	Sample ID	Sample Type
6287b98b-2643-482d-831a-d4afcc8fe757	c13bf3e3-3287-485b-a5d2-5371af7897fb.htseq.counts.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-THCA	TCGA-EL-A3ZK	TCGA-EL-A3ZK-11A	Solid Tissue Normal
908202b7-bc21-4595-b1d3-8e53f64f3fde	2f5ab967-ce81-429c-946a-b63e08c0e501.htseq.counts.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-THCA	TCGA-E8-A432	TCGA-E8-A432-01A	Primary Tumor
99179019-2b64-416b-811e-ed56935e7808	4763c7e5-97e5-40ca-9455-761ac274e0b4.htseq.counts.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-THCA	TCGA-EM-A2P1	TCGA-EM-A2P1-01A	Primary Tumor
3b9e475e-9e61-4590-84bd-c18725c4ac8d	6c4588e2-ce36-4ac6-b8b1-35f8dad9d4c9.htseq.counts.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-THCA	TCGA-EL-A3H1	TCGA-EL-A3H1-11A	Solid Tissue Normal
aa9703dd-b86b-4ffd-8fbe-ea3004f639ba	f9ebb8ae-9756-4871-a799-95a68deb8dbd.htseq.counts.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-THCA	TCGA-EM-A22L	TCGA-EM-A22L-01A	Primary Tumor
67a3d80e-98f9-4685-a263-ad0475363156	8fbda3cb-e8f8-40c6-8d2a-8a133c002f83.htseq.counts.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-THCA	TCGA-EM-A1YA	TCGA-EM-A1YA-01A	Primary Tumor
e2784287-65d7-46b5-b718-eb50a946feab	a7229653-ce17-42d9-9b02-d65c9c496527.htseq.counts.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-THCA	TCGA-DJ-A3UV	TCGA-DJ-A3UV-01A	Primary Tumor
ed6d60b3-611c-4c31-9918-bef39d86ee85	d7691598-818d-4665-bd95-a70e51175f12.htseq.counts.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-THCA	TCGA-BJ-A45C	TCGA-BJ-A45C-01A	Primary Tumor
cc3eab24-f99c-47ac-9d16-67b795d46621	a66f6215-106e-4d33-a50d-a4823659f95c.htseq.counts.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-THCA	TCGA-EL-A3GV	TCGA-EL-A3GV-01A	Primary Tumor
585835e4-fdaa-47d8-a840-0653d9b64065	5dbc00bb-6969-4943-8050-de95972923a5.htseq.counts.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-THCA	TCGA-DJ-A4UL	TCGA-DJ-A4UL-01A	Primary Tumor
