"","Run","Path","Class"
"1","c13bf3e3-3287-485b-a5d2-5371af7897fb.htseq.counts","ThyroidCancer/CountFiles/6287b98b-2643-482d-831a-d4afcc8fe757","Solid Tissue Normal"
"2","2f5ab967-ce81-429c-946a-b63e08c0e501.htseq.counts","ThyroidCancer/CountFiles/908202b7-bc21-4595-b1d3-8e53f64f3fde","Primary Tumor"
"3","4763c7e5-97e5-40ca-9455-761ac274e0b4.htseq.counts","ThyroidCancer/CountFiles/99179019-2b64-416b-811e-ed56935e7808","Primary Tumor"
"4","6c4588e2-ce36-4ac6-b8b1-35f8dad9d4c9.htseq.counts","ThyroidCancer/CountFiles/3b9e475e-9e61-4590-84bd-c18725c4ac8d","Solid Tissue Normal"
"5","f9ebb8ae-9756-4871-a799-95a68deb8dbd.htseq.counts","ThyroidCancer/CountFiles/aa9703dd-b86b-4ffd-8fbe-ea3004f639ba","Primary Tumor"
"6","8fbda3cb-e8f8-40c6-8d2a-8a133c002f83.htseq.counts","ThyroidCancer/CountFiles/67a3d80e-98f9-4685-a263-ad0475363156","Primary Tumor"
"7","a7229653-ce17-42d9-9b02-d65c9c496527.htseq.counts","ThyroidCancer/CountFiles/e2784287-65d7-46b5-b718-eb50a946feab","Primary Tumor"
"8","d7691598-818d-4665-bd95-a70e51175f12.htseq.counts","ThyroidCancer/CountFiles/ed6d60b3-611c-4c31-9918-bef39d86ee85","Primary Tumor"
"9","a66f6215-106e-4d33-a50d-a4823659f95c.htseq.counts","ThyroidCancer/CountFiles/cc3eab24-f99c-47ac-9d16-67b795d46621","Primary Tumor"
"10","5dbc00bb-6969-4943-8050-de95972923a5.htseq.counts","ThyroidCancer/CountFiles/585835e4-fdaa-47d8-a840-0653d9b64065","Primary Tumor"
"11","7ade7382-377d-49c5-a02c-315351ffd462.htseq.counts","ThyroidCancer/CountFiles/bea56095-f815-43f1-94ff-4913ddecb650","Primary Tumor"
